region,SU30_year_4C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,13.734636306762695,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,15.776873588562012,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,19.070541381835938,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,18.78152847290039,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,15.366371154785156,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,23.848995208740234,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,9.500579833984375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,13.567684173583984,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,14.216493606567383,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,15.456809997558594,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,12.712502479553223,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,19.866317749023438,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,20.187442779541016,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,21.606311798095703,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,22.756324768066406,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,33.92308807373047,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,33.54431915283203,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,33.08993148803711,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,32.100608825683594,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,30.456787109375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,22.88382911682129,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,32.958919525146484,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,30.687301635742188,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,33.604522705078125,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,33.589046478271484,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,31.657339096069336,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,26.621837615966797,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,29.10076332092285,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,31.12421417236328,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,28.68311309814453,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,22.01738739013672,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),29.540334701538086,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,29.167875289916992,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,29.804309844970703,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,20.02276611328125,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,23.87779998779297,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,31.900094985961914,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,27.764965057373047,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,23.990480422973633,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),23.766448974609375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,26.428035736083984,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,21.907873153686523,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03360_Uelzen,28.510223388671875,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03361_Verden,25.815649032592773,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_Delmenhorst,24.845699310302734,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_Emden,15.212594985961914,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_Oldenburg (Oldb),23.28238868713379,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_Osnabrück,27.397634506225586,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_Wilhelmshaven,12.161657333374023,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03451_Ammerland,22.67424774169922,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03452_Aurich,15.845468521118164,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03453_Cloppenburg,24.940441131591797,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03454_Emsland,26.121204376220703,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03455_Friesland,16.704622268676758,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03456_Grafschaft Bentheim,27.92022705078125,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03457_Leer,21.50848388671875,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03458_Oldenburg,24.427139282226562,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03459_Osnabrück,27.895408630371094,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03460_Vechta,27.025182723999023,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03461_Wesermarsch,21.16561508178711,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03462_Wittmund,15.666178703308105,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
