region,SU30_year_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,5.836830139160156,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01002_Kiel,6.618610858917236,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01003_Lübeck,9.299324035644531,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01004_Neumünster,9.510284423828125,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01051_Dithmarschen,8.888996124267578,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01053_Herzogtum Lauenburg,11.553255081176758,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01054_Nordfriesland,6.009169101715088,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01055_Ostholstein,5.508543491363525,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01057_Plön,7.026715278625488,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01058_Rendsburg-Eckernförde,8.080782890319824,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01059_Schleswig-Flensburg,6.3588409423828125,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01060_Segeberg,9.959156036376953,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01061_Steinburg,10.795797348022461,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01062_Stormarn,10.828700065612793,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
02000_Hamburg,11.568414688110352,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03101_Braunschweig,13.691147804260254,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03102_Salzgitter,13.748300552368164,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03103_Wolfsburg,13.533642768859863,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03151_Gifhorn,13.087721824645996,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03159_Göttingen,12.024386405944824,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03153_Goslar,9.509319305419922,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03154_Helmstedt,13.34451675415039,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03155_Northeim,12.291953086853027,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03157_Peine,13.7141752243042,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03158_Wolfenbüttel,13.681151390075684,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03241_Region Hannover,12.673776626586914,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03251_Diepholz,12.338057518005371,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03252_Hameln-Pyrmont,11.621578216552734,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03254_Hildesheim,12.40704345703125,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03255_Holzminden,11.677155494689941,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
01056_Pinneberg,11.646886825561523,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03256_Nienburg (Weser),12.563173294067383,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03257_Schaumburg,12.048601150512695,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03351_Celle,12.49034595489502,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03352_Cuxhaven,10.767416954040527,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03353_Harburg,11.275856018066406,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03354_Lüchow-Dannenberg,13.306807518005371,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03355_Lüneburg,11.58407974243164,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03356_Osterholz,12.051301002502441,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03357_Rotenburg (Wümme),11.817152976989746,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03358_Heidekreis,11.920660018920898,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03359_Stade,11.316935539245605,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03360_Uelzen,11.717055320739746,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03361_Verden,11.76512336730957,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03401_Delmenhorst,11.999098777770996,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03402_Emden,8.431379318237305,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03403_Oldenburg (Oldb),11.85344409942627,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_Osnabrück,11.65886116027832,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_Wilhelmshaven,6.854119300842285,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03451_Ammerland,11.702615737915039,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03452_Aurich,8.690401077270508,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03453_Cloppenburg,11.900341033935547,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03454_Emsland,12.04313850402832,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03455_Friesland,8.935047149658203,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03456_Grafschaft Bentheim,12.501236915588379,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03457_Leer,10.991342544555664,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03458_Oldenburg,11.694206237792969,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03459_Osnabrück,11.929710388183594,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03460_Vechta,12.531976699829102,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03461_Wesermarsch,11.216053009033203,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03462_Wittmund,8.573625564575195,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
04011_Bremen,11.530563354492188,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
04012_Bremerhaven,10.781892776489258,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05111_Düsseldorf,16.07524299621582,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05112_Duisburg,15.267918586730957,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05113_Essen,13.158018112182617,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05114_Krefeld,15.804731369018555,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05116_Mönchengladbach,15.73848819732666,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05117_Mülheim an der Ruhr,14.247304916381836,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05119_Oberhausen,14.416522979736328,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05120_Remscheid,10.462900161743164,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05122_Solingen,13.937911987304688,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05124_Wuppertal,11.07853889465332,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05154_Kleve,14.97694206237793,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05158_Mettmann,14.10651683807373,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05162_Rhein-Kreis Neuss,16.367382049560547,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05166_Viersen,15.452104568481445,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05170_Wesel,14.839715957641602,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05314_Bonn,18.0388126373291,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05315_Köln,17.640003204345703,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05316_Leverkusen,16.01691436767578,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05334_Städteregion Aachen,9.837650299072266,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05358_Düren,14.274412155151367,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05362_Rhein-Erft-Kreis,17.187217712402344,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05366_Euskirchen,8.962306022644043,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
