region,RRm_sem_3C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.3083462715148926,RRm,sem,precipitation,mm day-1,1
01001_01059_Region_um_Flensburg,0.22514545917510986,RRm,sem,precipitation,mm day-1,4
01001_01059_Region_um_Flensburg,-0.0066640377044677734,RRm,sem,precipitation,mm day-1,7
01001_01059_Region_um_Flensburg,0.1280345916748047,RRm,sem,precipitation,mm day-1,10
01001_Flensburg,0.26995885372161865,RRm,sem,precipitation,mm day-1,1
01001_Flensburg,0.2297130823135376,RRm,sem,precipitation,mm day-1,4
01001_Flensburg,-0.028152823448181152,RRm,sem,precipitation,mm day-1,7
01001_Flensburg,0.08080410957336426,RRm,sem,precipitation,mm day-1,10
01002_01057_01058_Region_um_Kiel,0.29547119140625,RRm,sem,precipitation,mm day-1,1
01002_01057_01058_Region_um_Kiel,0.19971561431884766,RRm,sem,precipitation,mm day-1,4
01002_01057_01058_Region_um_Kiel,-0.009833335876464844,RRm,sem,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.13323593139648438,RRm,sem,precipitation,mm day-1,10
01002_Kiel,0.2747929096221924,RRm,sem,precipitation,mm day-1,1
01002_Kiel,0.19604861736297607,RRm,sem,precipitation,mm day-1,4
01002_Kiel,-0.024727821350097656,RRm,sem,precipitation,mm day-1,7
01002_Kiel,0.11942517757415771,RRm,sem,precipitation,mm day-1,10
01003_13074_01055_01053_01062_Region_um_Lübeck,0.22057199478149414,RRm,sem,precipitation,mm day-1,1
01003_13074_01055_01053_01062_Region_um_Lübeck,0.20712506771087646,RRm,sem,precipitation,mm day-1,4
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.017086267471313477,RRm,sem,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.13849055767059326,RRm,sem,precipitation,mm day-1,10
01003_Lübeck,0.2078392505645752,RRm,sem,precipitation,mm day-1,1
01003_Lübeck,0.21039795875549316,RRm,sem,precipitation,mm day-1,4
01003_Lübeck,-0.04987192153930664,RRm,sem,precipitation,mm day-1,7
01003_Lübeck,0.11041879653930664,RRm,sem,precipitation,mm day-1,10
01004_01058_01060_01057_01002_Region_um_Neumünster,0.27605485916137695,RRm,sem,precipitation,mm day-1,1
01004_01058_01060_01057_01002_Region_um_Neumünster,0.1991288661956787,RRm,sem,precipitation,mm day-1,4
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.006025075912475586,RRm,sem,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.13619375228881836,RRm,sem,precipitation,mm day-1,10
01004_Neumünster,0.29178786277770996,RRm,sem,precipitation,mm day-1,1
01004_Neumünster,0.2165820598602295,RRm,sem,precipitation,mm day-1,4
01004_Neumünster,-0.033164024353027344,RRm,sem,precipitation,mm day-1,7
01004_Neumünster,0.16409754753112793,RRm,sem,precipitation,mm day-1,10
01051_Dithmarschen,0.3581693172454834,RRm,sem,precipitation,mm day-1,1
01051_Dithmarschen,0.20545411109924316,RRm,sem,precipitation,mm day-1,4
01051_Dithmarschen,0.028632044792175293,RRm,sem,precipitation,mm day-1,7
01051_Dithmarschen,0.31333208084106445,RRm,sem,precipitation,mm day-1,10
01053_Herzogtum Lauenburg,0.22218060493469238,RRm,sem,precipitation,mm day-1,1
01053_Herzogtum Lauenburg,0.21503257751464844,RRm,sem,precipitation,mm day-1,4
01053_Herzogtum Lauenburg,-0.052561283111572266,RRm,sem,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,0.11606168746948242,RRm,sem,precipitation,mm day-1,10
01054_Nordfriesland,0.3616316318511963,RRm,sem,precipitation,mm day-1,1
01054_Nordfriesland,0.23582065105438232,RRm,sem,precipitation,mm day-1,4
01054_Nordfriesland,-0.0015352964401245117,RRm,sem,precipitation,mm day-1,7
01054_Nordfriesland,0.21517467498779297,RRm,sem,precipitation,mm day-1,10
01055_Ostholstein,0.23188471794128418,RRm,sem,precipitation,mm day-1,1
01055_Ostholstein,0.22497177124023438,RRm,sem,precipitation,mm day-1,4
01055_Ostholstein,0.020141243934631348,RRm,sem,precipitation,mm day-1,7
