region,RRm_sem_4C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.8588435649871826,RRm,sem,precipitation,mm day-1,1
01001_01059_Region_um_Flensburg,0.8581216335296631,RRm,sem,precipitation,mm day-1,4
01001_01059_Region_um_Flensburg,0.5315091609954834,RRm,sem,precipitation,mm day-1,7
01001_01059_Region_um_Flensburg,0.7309072017669678,RRm,sem,precipitation,mm day-1,10
01001_Flensburg,0.9061527252197266,RRm,sem,precipitation,mm day-1,1
01001_Flensburg,0.8336024284362793,RRm,sem,precipitation,mm day-1,4
01001_Flensburg,0.4437131881713867,RRm,sem,precipitation,mm day-1,7
01001_Flensburg,0.7194762229919434,RRm,sem,precipitation,mm day-1,10
01002_01057_01058_Region_um_Kiel,0.7509744167327881,RRm,sem,precipitation,mm day-1,1
01002_01057_01058_Region_um_Kiel,0.8888318538665771,RRm,sem,precipitation,mm day-1,4
01002_01057_01058_Region_um_Kiel,0.626657247543335,RRm,sem,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.6390872001647949,RRm,sem,precipitation,mm day-1,10
01002_Kiel,0.7350318431854248,RRm,sem,precipitation,mm day-1,1
01002_Kiel,0.8894591331481934,RRm,sem,precipitation,mm day-1,4
01002_Kiel,0.616375207901001,RRm,sem,precipitation,mm day-1,7
01002_Kiel,0.5841240882873535,RRm,sem,precipitation,mm day-1,10
01003_13074_01055_01053_01062_Region_um_Lübeck,0.7252950668334961,RRm,sem,precipitation,mm day-1,1
01003_13074_01055_01053_01062_Region_um_Lübeck,0.7171390056610107,RRm,sem,precipitation,mm day-1,4
01003_13074_01055_01053_01062_Region_um_Lübeck,0.7457871437072754,RRm,sem,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.4515230655670166,RRm,sem,precipitation,mm day-1,10
01003_Lübeck,0.7237133979797363,RRm,sem,precipitation,mm day-1,1
01003_Lübeck,0.7243814468383789,RRm,sem,precipitation,mm day-1,4
01003_Lübeck,0.7463264465332031,RRm,sem,precipitation,mm day-1,7
01003_Lübeck,0.5039606094360352,RRm,sem,precipitation,mm day-1,10
01004_01058_01060_01057_01002_Region_um_Neumünster,0.7450668811798096,RRm,sem,precipitation,mm day-1,1
01004_01058_01060_01057_01002_Region_um_Neumünster,0.8762948513031006,RRm,sem,precipitation,mm day-1,4
01004_01058_01060_01057_01002_Region_um_Neumünster,0.6161398887634277,RRm,sem,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.6490762233734131,RRm,sem,precipitation,mm day-1,10
01004_Neumünster,0.7973556518554688,RRm,sem,precipitation,mm day-1,1
01004_Neumünster,0.8686673641204834,RRm,sem,precipitation,mm day-1,4
01004_Neumünster,0.6683254241943359,RRm,sem,precipitation,mm day-1,7
01004_Neumünster,0.716947078704834,RRm,sem,precipitation,mm day-1,10
01051_Dithmarschen,1.4068336486816406,RRm,sem,precipitation,mm day-1,1
01051_Dithmarschen,0.8545815944671631,RRm,sem,precipitation,mm day-1,4
01051_Dithmarschen,0.8746631145477295,RRm,sem,precipitation,mm day-1,7
01051_Dithmarschen,1.2695221900939941,RRm,sem,precipitation,mm day-1,10
01053_Herzogtum Lauenburg,0.6537351608276367,RRm,sem,precipitation,mm day-1,1
01053_Herzogtum Lauenburg,0.7222998142242432,RRm,sem,precipitation,mm day-1,4
01053_Herzogtum Lauenburg,0.763453483581543,RRm,sem,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,0.5287575721740723,RRm,sem,precipitation,mm day-1,10
01054_Nordfriesland,1.0834136009216309,RRm,sem,precipitation,mm day-1,1
01054_Nordfriesland,0.8421225547790527,RRm,sem,precipitation,mm day-1,4
01054_Nordfriesland,0.9859704971313477,RRm,sem,precipitation,mm day-1,7
01054_Nordfriesland,0.952308177947998,RRm,sem,precipitation,mm day-1,10
01055_Ostholstein,0.8393285274505615,RRm,sem,precipitation,mm day-1,1
01055_Ostholstein,0.7873146533966064,RRm,sem,precipitation,mm day-1,4
01055_Ostholstein,0.6967989206314087,RRm,sem,precipitation,mm day-1,7
01055_Ostholstein,0.4701939821243286,RRm,sem,precipitation,mm day-1,10
01056_Pinneberg,0.8444383144378662,RRm,sem,precipitation,mm day-1,1
01056_Pinneberg,0.7493953704833984,RRm,sem,precipitation,mm day-1,4
01056_Pinneberg,0.8143391609191895,RRm,sem,precipitation,mm day-1,7
01056_Pinneberg,1.009652853012085,RRm,sem,precipitation,mm day-1,10
01057_Plön,0.7375228404998779,RRm,sem,precipitation,mm day-1,1
01057_Plön,0.8736906051635742,RRm,sem,precipitation,mm day-1,4
01057_Plön,0.692659854888916,RRm,sem,precipitation,mm day-1,7
01057_Plön,0.5182409286499023,RRm,sem,precipitation,mm day-1,10
01058_Rendsburg-Eckernförde,0.779245138168335,RRm,sem,precipitation,mm day-1,1
01058_Rendsburg-Eckernförde,0.8963384628295898,RRm,sem,precipitation,mm day-1,4
01058_Rendsburg-Eckernförde,0.5943565368652344,RRm,sem,precipitation,mm day-1,7
01058_Rendsburg-Eckernförde,0.7094724178314209,RRm,sem,precipitation,mm day-1,10
01059_Schleswig-Flensburg,0.8576028347015381,RRm,sem,precipitation,mm day-1,1
01059_Schleswig-Flensburg,0.8587656021118164,RRm,sem,precipitation,mm day-1,4
01059_Schleswig-Flensburg,0.5338115692138672,RRm,sem,precipitation,mm day-1,7
01059_Schleswig-Flensburg,0.731205940246582,RRm,sem,precipitation,mm day-1,10
01060_Segeberg,0.7490878105163574,RRm,sem,precipitation,mm day-1,1
01060_Segeberg,0.8451027870178223,RRm,sem,precipitation,mm day-1,4
01060_Segeberg,0.5954960584640503,RRm,sem,precipitation,mm day-1,7
01060_Segeberg,0.6701996326446533,RRm,sem,precipitation,mm day-1,10
01061_Steinburg,0.9723973274230957,RRm,sem,precipitation,mm day-1,1
01061_Steinburg,0.7953555583953857,RRm,sem,precipitation,mm day-1,4
01061_Steinburg,0.6532330513000488,RRm,sem,precipitation,mm day-1,7
01061_Steinburg,1.1266920566558838,RRm,sem,precipitation,mm day-1,10
01062_Stormarn,0.6909615993499756,RRm,sem,precipitation,mm day-1,1
01062_Stormarn,0.783703088760376,RRm,sem,precipitation,mm day-1,4
01062_Stormarn,0.6744787693023682,RRm,sem,precipitation,mm day-1,7
01062_Stormarn,0.6027185916900635,RRm,sem,precipitation,mm day-1,10
02000_Hamburg,0.7541513442993164,RRm,sem,precipitation,mm day-1,1
02000_Hamburg,0.7414214611053467,RRm,sem,precipitation,mm day-1,4
02000_Hamburg,0.9535508155822754,RRm,sem,precipitation,mm day-1,7
02000_Hamburg,0.6341054439544678,RRm,sem,precipitation,mm day-1,10
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.7973010540008545,RRm,sem,precipitation,mm day-1,1
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.5745270252227783,RRm,sem,precipitation,mm day-1,4
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.9532711505889893,RRm,sem,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.4409751892089844,RRm,sem,precipitation,mm day-1,10
03101_Braunschweig,0.9218618869781494,RRm,sem,precipitation,mm day-1,1
03101_Braunschweig,0.6234493255615234,RRm,sem,precipitation,mm day-1,4
03101_Braunschweig,1.0712158679962158,RRm,sem,precipitation,mm day-1,7
03101_Braunschweig,0.5513123273849487,RRm,sem,precipitation,mm day-1,10
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.730954647064209,RRm,sem,precipitation,mm day-1,1
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.6102852821350098,RRm,sem,precipitation,mm day-1,4
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.9913930892944336,RRm,sem,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.4815768003463745,RRm,sem,precipitation,mm day-1,10
03102_Salzgitter,0.8679318428039551,RRm,sem,precipitation,mm day-1,1
03102_Salzgitter,0.6093041896820068,RRm,sem,precipitation,mm day-1,4
03102_Salzgitter,1.0149295330047607,RRm,sem,precipitation,mm day-1,7
03102_Salzgitter,0.43550539016723633,RRm,sem,precipitation,mm day-1,10
03103_03154_03151_Region_um_Wolfsburg,0.7536985874176025,RRm,sem,precipitation,mm day-1,1
03103_03154_03151_Region_um_Wolfsburg,0.5825157165527344,RRm,sem,precipitation,mm day-1,4
03103_03154_03151_Region_um_Wolfsburg,0.912482738494873,RRm,sem,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,0.44108104705810547,RRm,sem,precipitation,mm day-1,10
03103_Wolfsburg,0.7731024026870728,RRm,sem,precipitation,mm day-1,1
03103_Wolfsburg,0.5748984813690186,RRm,sem,precipitation,mm day-1,4
03103_Wolfsburg,0.9364526271820068,RRm,sem,precipitation,mm day-1,7
03103_Wolfsburg,0.44762372970581055,RRm,sem,precipitation,mm day-1,10
03151_Gifhorn,0.7637238502502441,RRm,sem,precipitation,mm day-1,1
03151_Gifhorn,0.6036176681518555,RRm,sem,precipitation,mm day-1,4
03151_Gifhorn,0.9372859001159668,RRm,sem,precipitation,mm day-1,7
03151_Gifhorn,0.4410579204559326,RRm,sem,precipitation,mm day-1,10
03153_Goslar,0.8100523948669434,RRm,sem,precipitation,mm day-1,1
03153_Goslar,0.6671504974365234,RRm,sem,precipitation,mm day-1,4
03153_Goslar,0.9266300201416016,RRm,sem,precipitation,mm day-1,7
03153_Goslar,0.5798931121826172,RRm,sem,precipitation,mm day-1,10
03154_Helmstedt,0.7243021726608276,RRm,sem,precipitation,mm day-1,1
03154_Helmstedt,0.5356202125549316,RRm,sem,precipitation,mm day-1,4
03154_Helmstedt,0.8471846580505371,RRm,sem,precipitation,mm day-1,7
03154_Helmstedt,0.4425055980682373,RRm,sem,precipitation,mm day-1,10
03155_Northeim,0.8042020797729492,RRm,sem,precipitation,mm day-1,1
03155_Northeim,0.689598798751831,RRm,sem,precipitation,mm day-1,4
03155_Northeim,1.1057307720184326,RRm,sem,precipitation,mm day-1,7
03155_Northeim,0.5116543769836426,RRm,sem,precipitation,mm day-1,10
03157_Peine,0.877098560333252,RRm,sem,precipitation,mm day-1,1
03157_Peine,0.6101522445678711,RRm,sem,precipitation,mm day-1,4
03157_Peine,1.0617353916168213,RRm,sem,precipitation,mm day-1,7
03157_Peine,0.46926116943359375,RRm,sem,precipitation,mm day-1,10
03158_Wolfenbüttel,0.8300625085830688,RRm,sem,precipitation,mm day-1,1
03158_Wolfenbüttel,0.5611464977264404,RRm,sem,precipitation,mm day-1,4
03158_Wolfenbüttel,0.9611010551452637,RRm,sem,precipitation,mm day-1,7
03158_Wolfenbüttel,0.43785226345062256,RRm,sem,precipitation,mm day-1,10
03159_Göttingen,0.8199527263641357,RRm,sem,precipitation,mm day-1,1
03159_Göttingen,0.6943182945251465,RRm,sem,precipitation,mm day-1,4
03159_Göttingen,1.2002522945404053,RRm,sem,precipitation,mm day-1,7
03159_Göttingen,0.6226046085357666,RRm,sem,precipitation,mm day-1,10
03241_Region Hannover,0.7368967533111572,RRm,sem,precipitation,mm day-1,1
03241_Region Hannover,0.5890965461730957,RRm,sem,precipitation,mm day-1,4
03241_Region Hannover,1.0859043598175049,RRm,sem,precipitation,mm day-1,7
03241_Region Hannover,0.45350027084350586,RRm,sem,precipitation,mm day-1,10
03251_Diepholz,0.7192192077636719,RRm,sem,precipitation,mm day-1,1
03251_Diepholz,0.6896185874938965,RRm,sem,precipitation,mm day-1,4
03251_Diepholz,0.9165585041046143,RRm,sem,precipitation,mm day-1,7
03251_Diepholz,0.4920966625213623,RRm,sem,precipitation,mm day-1,10
03252_Hameln-Pyrmont,0.6629643440246582,RRm,sem,precipitation,mm day-1,1
03252_Hameln-Pyrmont,0.5381026268005371,RRm,sem,precipitation,mm day-1,4
03252_Hameln-Pyrmont,0.8510072231292725,RRm,sem,precipitation,mm day-1,7
03252_Hameln-Pyrmont,0.44221043586730957,RRm,sem,precipitation,mm day-1,10
03254_Hildesheim,0.7703256607055664,RRm,sem,precipitation,mm day-1,1
03254_Hildesheim,0.6192147731781006,RRm,sem,precipitation,mm day-1,4
03254_Hildesheim,1.0135166645050049,RRm,sem,precipitation,mm day-1,7
03254_Hildesheim,0.4320647716522217,RRm,sem,precipitation,mm day-1,10
03255_Holzminden,0.6831479072570801,RRm,sem,precipitation,mm day-1,1
03255_Holzminden,0.6273193359375,RRm,sem,precipitation,mm day-1,4
03255_Holzminden,0.8274276256561279,RRm,sem,precipitation,mm day-1,7
03255_Holzminden,0.5186276435852051,RRm,sem,precipitation,mm day-1,10
03256_Nienburg (Weser),0.6888573169708252,RRm,sem,precipitation,mm day-1,1
03256_Nienburg (Weser),0.6323394775390625,RRm,sem,precipitation,mm day-1,4
03256_Nienburg (Weser),0.9862301349639893,RRm,sem,precipitation,mm day-1,7
03256_Nienburg (Weser),0.5896365642547607,RRm,sem,precipitation,mm day-1,10
03257_Schaumburg,0.6947932243347168,RRm,sem,precipitation,mm day-1,1
03257_Schaumburg,0.5375351905822754,RRm,sem,precipitation,mm day-1,4
03257_Schaumburg,0.9048886299133301,RRm,sem,precipitation,mm day-1,7
03257_Schaumburg,0.4932694435119629,RRm,sem,precipitation,mm day-1,10
03351_Celle,0.735511064529419,RRm,sem,precipitation,mm day-1,1
03351_Celle,0.6580784320831299,RRm,sem,precipitation,mm day-1,4
03351_Celle,0.9707770347595215,RRm,sem,precipitation,mm day-1,7
03351_Celle,0.5130126476287842,RRm,sem,precipitation,mm day-1,10
03352_Cuxhaven,0.8305656909942627,RRm,sem,precipitation,mm day-1,1
03352_Cuxhaven,0.6974143981933594,RRm,sem,precipitation,mm day-1,4
03352_Cuxhaven,0.730419397354126,RRm,sem,precipitation,mm day-1,7
03352_Cuxhaven,0.77510666847229,RRm,sem,precipitation,mm day-1,10
03353_Harburg,0.6590955257415771,RRm,sem,precipitation,mm day-1,1
03353_Harburg,0.6745707988739014,RRm,sem,precipitation,mm day-1,4
03353_Harburg,0.7722516059875488,RRm,sem,precipitation,mm day-1,7
03353_Harburg,0.5244512557983398,RRm,sem,precipitation,mm day-1,10
03354_Lüchow-Dannenberg,0.6942294836044312,RRm,sem,precipitation,mm day-1,1
03354_Lüchow-Dannenberg,0.6366300582885742,RRm,sem,precipitation,mm day-1,4
03354_Lüchow-Dannenberg,0.9930093288421631,RRm,sem,precipitation,mm day-1,7
03354_Lüchow-Dannenberg,0.42568492889404297,RRm,sem,precipitation,mm day-1,10
03355_Lüneburg,0.6481283903121948,RRm,sem,precipitation,mm day-1,1
03355_Lüneburg,0.6420583724975586,RRm,sem,precipitation,mm day-1,4
03355_Lüneburg,0.8957207202911377,RRm,sem,precipitation,mm day-1,7
03355_Lüneburg,0.46129775047302246,RRm,sem,precipitation,mm day-1,10
03356_Osterholz,0.697528600692749,RRm,sem,precipitation,mm day-1,1
03356_Osterholz,0.6133928298950195,RRm,sem,precipitation,mm day-1,4
03356_Osterholz,0.8281610012054443,RRm,sem,precipitation,mm day-1,7
03356_Osterholz,0.58363938331604,RRm,sem,precipitation,mm day-1,10
03357_Rotenburg (Wümme),0.7052304744720459,RRm,sem,precipitation,mm day-1,1
03357_Rotenburg (Wümme),0.7058227062225342,RRm,sem,precipitation,mm day-1,4
03357_Rotenburg (Wümme),0.8154170513153076,RRm,sem,precipitation,mm day-1,7
03357_Rotenburg (Wümme),0.6405754089355469,RRm,sem,precipitation,mm day-1,10
03358_Heidekreis,0.7174088954925537,RRm,sem,precipitation,mm day-1,1
03358_Heidekreis,0.7318382263183594,RRm,sem,precipitation,mm day-1,4
03358_Heidekreis,0.9393253326416016,RRm,sem,precipitation,mm day-1,7
03358_Heidekreis,0.5819544792175293,RRm,sem,precipitation,mm day-1,10
03359_Stade,0.7384786605834961,RRm,sem,precipitation,mm day-1,1
03359_Stade,0.6880195140838623,RRm,sem,precipitation,mm day-1,4
03359_Stade,0.7309422492980957,RRm,sem,precipitation,mm day-1,7
03359_Stade,0.6719353199005127,RRm,sem,precipitation,mm day-1,10
03360_Uelzen,0.6655513048171997,RRm,sem,precipitation,mm day-1,1
03360_Uelzen,0.6007978916168213,RRm,sem,precipitation,mm day-1,4
03360_Uelzen,0.8513963222503662,RRm,sem,precipitation,mm day-1,7
03360_Uelzen,0.44254326820373535,RRm,sem,precipitation,mm day-1,10
03361_Verden,0.7873897552490234,RRm,sem,precipitation,mm day-1,1
03361_Verden,0.7112250328063965,RRm,sem,precipitation,mm day-1,4
03361_Verden,1.0107367038726807,RRm,sem,precipitation,mm day-1,7
03361_Verden,0.5868017673492432,RRm,sem,precipitation,mm day-1,10
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.7215282917022705,RRm,sem,precipitation,mm day-1,1
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.6625866889953613,RRm,sem,precipitation,mm day-1,4
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.8982532024383545,RRm,sem,precipitation,mm day-1,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.5036861896514893,RRm,sem,precipitation,mm day-1,10
03401_Delmenhorst,0.6849334239959717,RRm,sem,precipitation,mm day-1,1
03401_Delmenhorst,0.6020209789276123,RRm,sem,precipitation,mm day-1,4
03401_Delmenhorst,0.8512134552001953,RRm,sem,precipitation,mm day-1,7
03401_Delmenhorst,0.5081565380096436,RRm,sem,precipitation,mm day-1,10
03402_03452_03457_Region_um_Emden,0.8370399475097656,RRm,sem,precipitation,mm day-1,1
03402_03452_03457_Region_um_Emden,0.7685215473175049,RRm,sem,precipitation,mm day-1,4
03402_03452_03457_Region_um_Emden,0.7294995784759521,RRm,sem,precipitation,mm day-1,7
03402_03452_03457_Region_um_Emden,0.8020801544189453,RRm,sem,precipitation,mm day-1,10
03402_Emden,1.0812022686004639,RRm,sem,precipitation,mm day-1,1
03402_Emden,0.7243824005126953,RRm,sem,precipitation,mm day-1,4
03402_Emden,0.8962748050689697,RRm,sem,precipitation,mm day-1,7
03402_Emden,1.0261592864990234,RRm,sem,precipitation,mm day-1,10
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.7221207618713379,RRm,sem,precipitation,mm day-1,1
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.6393895149230957,RRm,sem,precipitation,mm day-1,4
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.8179275989532471,RRm,sem,precipitation,mm day-1,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.5847022533416748,RRm,sem,precipitation,mm day-1,10
03403_Oldenburg (Oldb),0.7172749042510986,RRm,sem,precipitation,mm day-1,1
03403_Oldenburg (Oldb),0.6136953830718994,RRm,sem,precipitation,mm day-1,4
03403_Oldenburg (Oldb),0.8075942993164062,RRm,sem,precipitation,mm day-1,7
03403_Oldenburg (Oldb),0.6228692531585693,RRm,sem,precipitation,mm day-1,10
03404_03459_05566_Region_um_Osnabrück,0.8497157096862793,RRm,sem,precipitation,mm day-1,1
03404_03459_05566_Region_um_Osnabrück,0.6382296085357666,RRm,sem,precipitation,mm day-1,4
03404_03459_05566_Region_um_Osnabrück,0.8245928287506104,RRm,sem,precipitation,mm day-1,7
03404_03459_05566_Region_um_Osnabrück,0.45739150047302246,RRm,sem,precipitation,mm day-1,10
03404_Osnabrück,0.8622786998748779,RRm,sem,precipitation,mm day-1,1
03404_Osnabrück,0.6461727619171143,RRm,sem,precipitation,mm day-1,4
03404_Osnabrück,0.6735124588012695,RRm,sem,precipitation,mm day-1,7
03404_Osnabrück,0.491976261138916,RRm,sem,precipitation,mm day-1,10
03405_03455_Region_um_Wilhelmshaven,0.7142789363861084,RRm,sem,precipitation,mm day-1,1
03405_03455_Region_um_Wilhelmshaven,0.752448558807373,RRm,sem,precipitation,mm day-1,4
03405_03455_Region_um_Wilhelmshaven,0.7496683597564697,RRm,sem,precipitation,mm day-1,7
03405_03455_Region_um_Wilhelmshaven,0.6841568946838379,RRm,sem,precipitation,mm day-1,10
03405_Wilhelmshaven,0.989495038986206,RRm,sem,precipitation,mm day-1,1
03405_Wilhelmshaven,0.7407236099243164,RRm,sem,precipitation,mm day-1,4
03405_Wilhelmshaven,1.0059518814086914,RRm,sem,precipitation,mm day-1,7
03405_Wilhelmshaven,0.7493453025817871,RRm,sem,precipitation,mm day-1,10
03451_Ammerland,0.7168493270874023,RRm,sem,precipitation,mm day-1,1
03451_Ammerland,0.7168726921081543,RRm,sem,precipitation,mm day-1,4
03451_Ammerland,0.7515223026275635,RRm,sem,precipitation,mm day-1,7
03451_Ammerland,0.5989179611206055,RRm,sem,precipitation,mm day-1,10
03452_Aurich,0.9040870666503906,RRm,sem,precipitation,mm day-1,1
03452_Aurich,0.7747905254364014,RRm,sem,precipitation,mm day-1,4
03452_Aurich,0.6740658283233643,RRm,sem,precipitation,mm day-1,7
03452_Aurich,0.9421870708465576,RRm,sem,precipitation,mm day-1,10
03453_Cloppenburg,0.7593064308166504,RRm,sem,precipitation,mm day-1,1
03453_Cloppenburg,0.6765193939208984,RRm,sem,precipitation,mm day-1,4
03453_Cloppenburg,0.8097975254058838,RRm,sem,precipitation,mm day-1,7
03453_Cloppenburg,0.5313284397125244,RRm,sem,precipitation,mm day-1,10
03454_Emsland,0.8554902076721191,RRm,sem,precipitation,mm day-1,1
03454_Emsland,0.6818580627441406,RRm,sem,precipitation,mm day-1,4
03454_Emsland,0.8243916034698486,RRm,sem,precipitation,mm day-1,7
03454_Emsland,0.4911767244338989,RRm,sem,precipitation,mm day-1,10
03455_Friesland,0.7160952091217041,RRm,sem,precipitation,mm day-1,1
03455_Friesland,0.7545139789581299,RRm,sem,precipitation,mm day-1,4
03455_Friesland,0.7045202255249023,RRm,sem,precipitation,mm day-1,7
03455_Friesland,0.6846282482147217,RRm,sem,precipitation,mm day-1,10
03456_Grafschaft Bentheim,0.9027798175811768,RRm,sem,precipitation,mm day-1,1
03456_Grafschaft Bentheim,0.6589133739471436,RRm,sem,precipitation,mm day-1,4
03456_Grafschaft Bentheim,0.7817142009735107,RRm,sem,precipitation,mm day-1,7
03456_Grafschaft Bentheim,0.4888390302658081,RRm,sem,precipitation,mm day-1,10
03457_Leer,0.7594091892242432,RRm,sem,precipitation,mm day-1,1
03457_Leer,0.7654664516448975,RRm,sem,precipitation,mm day-1,4
03457_Leer,0.7799468040466309,RRm,sem,precipitation,mm day-1,7
03457_Leer,0.6069114208221436,RRm,sem,precipitation,mm day-1,10
03458_Oldenburg,0.7167618274688721,RRm,sem,precipitation,mm day-1,1
03458_Oldenburg,0.6627926826477051,RRm,sem,precipitation,mm day-1,4
03458_Oldenburg,0.841149091720581,RRm,sem,precipitation,mm day-1,7
