region,RRm_sem_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.064432845,RRm,sem,precipitation,mm day-1,1
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.13966657,RRm,sem,precipitation,mm day-1,4
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.04973758,RRm,sem,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.04197466,RRm,sem,precipitation,mm day-1,10
03101_Braunschweig,0.06474862,RRm,sem,precipitation,mm day-1,1
03101_Braunschweig,0.14982648,RRm,sem,precipitation,mm day-1,4
03101_Braunschweig,0.045535333,RRm,sem,precipitation,mm day-1,7
03101_Braunschweig,0.05178493,RRm,sem,precipitation,mm day-1,10
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.043848284,RRm,sem,precipitation,mm day-1,1
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.14968254,RRm,sem,precipitation,mm day-1,4
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.04701079,RRm,sem,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.03721731,RRm,sem,precipitation,mm day-1,10
03102_Salzgitter,0.059758976,RRm,sem,precipitation,mm day-1,1
03102_Salzgitter,0.15013438,RRm,sem,precipitation,mm day-1,4
03102_Salzgitter,0.047426414,RRm,sem,precipitation,mm day-1,7
03102_Salzgitter,0.037275728,RRm,sem,precipitation,mm day-1,10
03103_03154_03151_Region_um_Wolfsburg,0.065511584,RRm,sem,precipitation,mm day-1,1
03103_03154_03151_Region_um_Wolfsburg,0.13523489,RRm,sem,precipitation,mm day-1,4
03103_03154_03151_Region_um_Wolfsburg,0.05071294,RRm,sem,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,0.041911162,RRm,sem,precipitation,mm day-1,10
03103_Wolfsburg,0.06718072,RRm,sem,precipitation,mm day-1,1
03103_Wolfsburg,0.13860065,RRm,sem,precipitation,mm day-1,4
03103_Wolfsburg,0.0415192,RRm,sem,precipitation,mm day-1,7
03103_Wolfsburg,0.038542513,RRm,sem,precipitation,mm day-1,10
03151_Gifhorn,0.063571475,RRm,sem,precipitation,mm day-1,1
03151_Gifhorn,0.1321277,RRm,sem,precipitation,mm day-1,4
03151_Gifhorn,0.054740187,RRm,sem,precipitation,mm day-1,7
03151_Gifhorn,0.046422254,RRm,sem,precipitation,mm day-1,10
03153_Goslar,-0.00017140205,RRm,sem,precipitation,mm day-1,1
03153_Goslar,0.16866842,RRm,sem,precipitation,mm day-1,4
03153_Goslar,0.032633685,RRm,sem,precipitation,mm day-1,7
03153_Goslar,0.02389607,RRm,sem,precipitation,mm day-1,10
03154_Helmstedt,0.06952379,RRm,sem,precipitation,mm day-1,1
03154_Helmstedt,0.14144649,RRm,sem,precipitation,mm day-1,4
03154_Helmstedt,0.04415513,RRm,sem,precipitation,mm day-1,7
03154_Helmstedt,0.032423932,RRm,sem,precipitation,mm day-1,10
03155_Northeim,0.059847325,RRm,sem,precipitation,mm day-1,1
03155_Northeim,0.12929158,RRm,sem,precipitation,mm day-1,4
03155_Northeim,0.035300184,RRm,sem,precipitation,mm day-1,7
03155_Northeim,0.036250785,RRm,sem,precipitation,mm day-1,10
03157_Peine,0.063081905,RRm,sem,precipitation,mm day-1,1
03157_Peine,0.141477,RRm,sem,precipitation,mm day-1,4
03157_Peine,0.049064036,RRm,sem,precipitation,mm day-1,7
03157_Peine,0.053169955,RRm,sem,precipitation,mm day-1,10
03158_Wolfenbüttel,0.063156016,RRm,sem,precipitation,mm day-1,1
03158_Wolfenbüttel,0.1472214,RRm,sem,precipitation,mm day-1,4
03158_Wolfenbüttel,0.048811704,RRm,sem,precipitation,mm day-1,7
03158_Wolfenbüttel,0.032864258,RRm,sem,precipitation,mm day-1,10
03159_Göttingen,0.051194478,RRm,sem,precipitation,mm day-1,1
03159_Göttingen,0.13795114,RRm,sem,precipitation,mm day-1,4
03159_Göttingen,0.025018,RRm,sem,precipitation,mm day-1,7
03159_Göttingen,0.039376203,RRm,sem,precipitation,mm day-1,10
03241_Region Hannover,0.05392222,RRm,sem,precipitation,mm day-1,1
03241_Region Hannover,0.12925352,RRm,sem,precipitation,mm day-1,4
03241_Region Hannover,0.06257887,RRm,sem,precipitation,mm day-1,7
03241_Region Hannover,0.055290636,RRm,sem,precipitation,mm day-1,10
03251_Diepholz,0.05655765,RRm,sem,precipitation,mm day-1,1
03251_Diepholz,0.116584495,RRm,sem,precipitation,mm day-1,4
03251_Diepholz,0.03150856,RRm,sem,precipitation,mm day-1,7
03251_Diepholz,0.058547862,RRm,sem,precipitation,mm day-1,10
03252_Hameln-Pyrmont,0.03890326,RRm,sem,precipitation,mm day-1,1
03252_Hameln-Pyrmont,0.12621348,RRm,sem,precipitation,mm day-1,4
03252_Hameln-Pyrmont,0.045966208,RRm,sem,precipitation,mm day-1,7
03252_Hameln-Pyrmont,0.03819461,RRm,sem,precipitation,mm day-1,10
03254_Hildesheim,0.052515265,RRm,sem,precipitation,mm day-1,1
03254_Hildesheim,0.13949443,RRm,sem,precipitation,mm day-1,4
03254_Hildesheim,0.056664605,RRm,sem,precipitation,mm day-1,7
03254_Hildesheim,0.041099142,RRm,sem,precipitation,mm day-1,10
03255_Holzminden,0.042759378,RRm,sem,precipitation,mm day-1,1
03255_Holzminden,0.13440208,RRm,sem,precipitation,mm day-1,4
03255_Holzminden,0.042528864,RRm,sem,precipitation,mm day-1,7
03255_Holzminden,0.028454892,RRm,sem,precipitation,mm day-1,10
03256_Nienburg (Weser),0.051684596,RRm,sem,precipitation,mm day-1,1
03256_Nienburg (Weser),0.12195122,RRm,sem,precipitation,mm day-1,4
03256_Nienburg (Weser),0.04674125,RRm,sem,precipitation,mm day-1,7
03256_Nienburg (Weser),0.064831376,RRm,sem,precipitation,mm day-1,10
03257_Schaumburg,0.036034416,RRm,sem,precipitation,mm day-1,1
03257_Schaumburg,0.12508757,RRm,sem,precipitation,mm day-1,4
03257_Schaumburg,0.05014478,RRm,sem,precipitation,mm day-1,7
03257_Schaumburg,0.053369816,RRm,sem,precipitation,mm day-1,10
03351_Celle,0.053284235,RRm,sem,precipitation,mm day-1,1
03351_Celle,0.12969713,RRm,sem,precipitation,mm day-1,4
03351_Celle,0.051483918,RRm,sem,precipitation,mm day-1,7
03351_Celle,0.060404025,RRm,sem,precipitation,mm day-1,10
03352_Cuxhaven,0.0677239,RRm,sem,precipitation,mm day-1,1
03352_Cuxhaven,0.1317658,RRm,sem,precipitation,mm day-1,4
03352_Cuxhaven,0.059381887,RRm,sem,precipitation,mm day-1,7
03352_Cuxhaven,0.1222391,RRm,sem,precipitation,mm day-1,10
03353_Harburg,0.047056723,RRm,sem,precipitation,mm day-1,1
03353_Harburg,0.13351582,RRm,sem,precipitation,mm day-1,4
03353_Harburg,0.06258503,RRm,sem,precipitation,mm day-1,7
03353_Harburg,0.053012665,RRm,sem,precipitation,mm day-1,10
03354_Lüchow-Dannenberg,0.0644893,RRm,sem,precipitation,mm day-1,1
03354_Lüchow-Dannenberg,0.12905858,RRm,sem,precipitation,mm day-1,4
03354_Lüchow-Dannenberg,0.062779374,RRm,sem,precipitation,mm day-1,7
03354_Lüchow-Dannenberg,0.03986346,RRm,sem,precipitation,mm day-1,10
03355_Lüneburg,0.058629457,RRm,sem,precipitation,mm day-1,1
03355_Lüneburg,0.12930587,RRm,sem,precipitation,mm day-1,4
03355_Lüneburg,0.061722085,RRm,sem,precipitation,mm day-1,7
03355_Lüneburg,0.046423856,RRm,sem,precipitation,mm day-1,10
03356_Osterholz,0.044086523,RRm,sem,precipitation,mm day-1,1
03356_Osterholz,0.115177125,RRm,sem,precipitation,mm day-1,4
03356_Osterholz,0.044280965,RRm,sem,precipitation,mm day-1,7
03356_Osterholz,0.05991262,RRm,sem,precipitation,mm day-1,10
03357_Rotenburg (Wümme),0.042171825,RRm,sem,precipitation,mm day-1,1
03357_Rotenburg (Wümme),0.12591748,RRm,sem,precipitation,mm day-1,4
03357_Rotenburg (Wümme),0.056373645,RRm,sem,precipitation,mm day-1,7
03357_Rotenburg (Wümme),0.066429496,RRm,sem,precipitation,mm day-1,10
03358_Heidekreis,0.044398863,RRm,sem,precipitation,mm day-1,1
03358_Heidekreis,0.12825975,RRm,sem,precipitation,mm day-1,4
03358_Heidekreis,0.049652062,RRm,sem,precipitation,mm day-1,7
03358_Heidekreis,0.062019795,RRm,sem,precipitation,mm day-1,10
03359_Stade,0.056457013,RRm,sem,precipitation,mm day-1,1
03359_Stade,0.13266961,RRm,sem,precipitation,mm day-1,4
03359_Stade,0.06596501,RRm,sem,precipitation,mm day-1,7
03359_Stade,0.08047864,RRm,sem,precipitation,mm day-1,10
03360_Uelzen,0.059396464,RRm,sem,precipitation,mm day-1,1
03360_Uelzen,0.12641732,RRm,sem,precipitation,mm day-1,4
03360_Uelzen,0.056458477,RRm,sem,precipitation,mm day-1,7
03360_Uelzen,0.044427544,RRm,sem,precipitation,mm day-1,10
03361_Verden,0.049868204,RRm,sem,precipitation,mm day-1,1
03361_Verden,0.11609025,RRm,sem,precipitation,mm day-1,4
03361_Verden,0.046326403,RRm,sem,precipitation,mm day-1,7
03361_Verden,0.067637675,RRm,sem,precipitation,mm day-1,10
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.05421716,RRm,sem,precipitation,mm day-1,1
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.1135817,RRm,sem,precipitation,mm day-1,4
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.029653752,RRm,sem,precipitation,mm day-1,7
03401_03458_04011_03251_03461_Region_um_Delmenhorst,0.062012024,RRm,sem,precipitation,mm day-1,10
03401_Delmenhorst,0.05270731,RRm,sem,precipitation,mm day-1,1
03401_Delmenhorst,0.10993792,RRm,sem,precipitation,mm day-1,4
03401_Delmenhorst,0.026617466,RRm,sem,precipitation,mm day-1,7
03401_Delmenhorst,0.054753188,RRm,sem,precipitation,mm day-1,10
03402_03452_03457_Region_um_Emden,0.059416454,RRm,sem,precipitation,mm day-1,1
03402_03452_03457_Region_um_Emden,0.11278965,RRm,sem,precipitation,mm day-1,4
03402_03452_03457_Region_um_Emden,0.024299372,RRm,sem,precipitation,mm day-1,7
03402_03452_03457_Region_um_Emden,0.107560046,RRm,sem,precipitation,mm day-1,10
03402_Emden,0.0723775,RRm,sem,precipitation,mm day-1,1
03402_Emden,0.116463296,RRm,sem,precipitation,mm day-1,4
03402_Emden,0.031797234,RRm,sem,precipitation,mm day-1,7
03402_Emden,0.13947493,RRm,sem,precipitation,mm day-1,10
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.049291242,RRm,sem,precipitation,mm day-1,1
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.1100666,RRm,sem,precipitation,mm day-1,4
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.02494019,RRm,sem,precipitation,mm day-1,7
03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),0.06159403,RRm,sem,precipitation,mm day-1,10
03403_Oldenburg (Oldb),0.04503126,RRm,sem,precipitation,mm day-1,1
03403_Oldenburg (Oldb),0.10931614,RRm,sem,precipitation,mm day-1,4
03403_Oldenburg (Oldb),0.022020668,RRm,sem,precipitation,mm day-1,7
03403_Oldenburg (Oldb),0.054171693,RRm,sem,precipitation,mm day-1,10
03404_03459_05566_Region_um_Osnabrück,0.04263213,RRm,sem,precipitation,mm day-1,1
03404_03459_05566_Region_um_Osnabrück,0.114481136,RRm,sem,precipitation,mm day-1,4
03404_03459_05566_Region_um_Osnabrück,-0.003420309,RRm,sem,precipitation,mm day-1,7
03404_03459_05566_Region_um_Osnabrück,0.047991358,RRm,sem,precipitation,mm day-1,10
03404_Osnabrück,0.029532285,RRm,sem,precipitation,mm day-1,1
03404_Osnabrück,0.11351301,RRm,sem,precipitation,mm day-1,4
03404_Osnabrück,-0.008129306,RRm,sem,precipitation,mm day-1,7
03404_Osnabrück,0.046231393,RRm,sem,precipitation,mm day-1,10
03405_03455_Region_um_Wilhelmshaven,0.052598096,RRm,sem,precipitation,mm day-1,1
03405_03455_Region_um_Wilhelmshaven,0.11061442,RRm,sem,precipitation,mm day-1,4
03405_03455_Region_um_Wilhelmshaven,0.0248087,RRm,sem,precipitation,mm day-1,7
03405_03455_Region_um_Wilhelmshaven,0.08152497,RRm,sem,precipitation,mm day-1,10
03405_Wilhelmshaven,0.06993809,RRm,sem,precipitation,mm day-1,1
03405_Wilhelmshaven,0.11967098,RRm,sem,precipitation,mm day-1,4
03405_Wilhelmshaven,0.03723614,RRm,sem,precipitation,mm day-1,7
03405_Wilhelmshaven,0.122900076,RRm,sem,precipitation,mm day-1,10
03451_Ammerland,0.041776262,RRm,sem,precipitation,mm day-1,1
03451_Ammerland,0.10865683,RRm,sem,precipitation,mm day-1,4
03451_Ammerland,0.020270767,RRm,sem,precipitation,mm day-1,7
03451_Ammerland,0.050668117,RRm,sem,precipitation,mm day-1,10
03452_Aurich,0.06739452,RRm,sem,precipitation,mm day-1,1
03452_Aurich,0.11647116,RRm,sem,precipitation,mm day-1,4
03452_Aurich,0.030024271,RRm,sem,precipitation,mm day-1,7
03452_Aurich,0.13934526,RRm,sem,precipitation,mm day-1,10
03453_Cloppenburg,0.047281936,RRm,sem,precipitation,mm day-1,1
03453_Cloppenburg,0.10641618,RRm,sem,precipitation,mm day-1,4
03453_Cloppenburg,0.018470012,RRm,sem,precipitation,mm day-1,7
03453_Cloppenburg,0.05360737,RRm,sem,precipitation,mm day-1,10
03454_Emsland,0.04700203,RRm,sem,precipitation,mm day-1,1
03454_Emsland,0.11087422,RRm,sem,precipitation,mm day-1,4
03454_Emsland,0.0064530666,RRm,sem,precipitation,mm day-1,7
03454_Emsland,0.050970826,RRm,sem,precipitation,mm day-1,10
03455_Friesland,0.049543414,RRm,sem,precipitation,mm day-1,1
03455_Friesland,0.10901896,RRm,sem,precipitation,mm day-1,4
03455_Friesland,0.022619413,RRm,sem,precipitation,mm day-1,7
03455_Friesland,0.07423624,RRm,sem,precipitation,mm day-1,10
03456_Grafschaft Bentheim,0.05012619,RRm,sem,precipitation,mm day-1,1
03456_Grafschaft Bentheim,0.11305335,RRm,sem,precipitation,mm day-1,4
03456_Grafschaft Bentheim,-0.011012929,RRm,sem,precipitation,mm day-1,7
03456_Grafschaft Bentheim,0.050718736,RRm,sem,precipitation,mm day-1,10
03457_Leer,0.048282113,RRm,sem,precipitation,mm day-1,1
03457_Leer,0.10789338,RRm,sem,precipitation,mm day-1,4
03457_Leer,0.016498517,RRm,sem,precipitation,mm day-1,7
03457_Leer,0.06526654,RRm,sem,precipitation,mm day-1,10
03458_Oldenburg,0.052551214,RRm,sem,precipitation,mm day-1,1
03458_Oldenburg,0.10900083,RRm,sem,precipitation,mm day-1,4
03458_Oldenburg,0.02302609,RRm,sem,precipitation,mm day-1,7
03458_Oldenburg,0.056369673,RRm,sem,precipitation,mm day-1,10
03459_Osnabrück,0.040888898,RRm,sem,precipitation,mm day-1,1
03459_Osnabrück,0.11317184,RRm,sem,precipitation,mm day-1,4
03459_Osnabrück,0.00071891356,RRm,sem,precipitation,mm day-1,7
03459_Osnabrück,0.04782497,RRm,sem,precipitation,mm day-1,10
03460_Vechta,0.051187214,RRm,sem,precipitation,mm day-1,1
03460_Vechta,0.1080742,RRm,sem,precipitation,mm day-1,4
03460_Vechta,0.01361295,RRm,sem,precipitation,mm day-1,7
03460_Vechta,0.05204856,RRm,sem,precipitation,mm day-1,10
03461_Wesermarsch,0.052309524,RRm,sem,precipitation,mm day-1,1
03461_Wesermarsch,0.11273332,RRm,sem,precipitation,mm day-1,4
03461_Wesermarsch,0.03179905,RRm,sem,precipitation,mm day-1,7
03461_Wesermarsch,0.07865526,RRm,sem,precipitation,mm day-1,10
03462_Wittmund,0.05768304,RRm,sem,precipitation,mm day-1,1
03462_Wittmund,0.11127005,RRm,sem,precipitation,mm day-1,4
03462_Wittmund,0.028416427,RRm,sem,precipitation,mm day-1,7
03462_Wittmund,0.110582955,RRm,sem,precipitation,mm day-1,10
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.057311542,RRm,sem,precipitation,mm day-1,1
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.12040978,RRm,sem,precipitation,mm day-1,4
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.043191873,RRm,sem,precipitation,mm day-1,7
04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,0.08244403,RRm,sem,precipitation,mm day-1,10
