region,ci_name,ci_frequency,standard_name,units,mid_month,RRm_sem_2C_rcp85_ensemble-robustness
01062_Stormarn,RRm,sem,precipitation,mm day-1,10,1.0
02000_Hamburg,RRm,sem,precipitation,mm day-1,1,1.0
02000_Hamburg,RRm,sem,precipitation,mm day-1,4,1.0
02000_Hamburg,RRm,sem,precipitation,mm day-1,7,
02000_Hamburg,RRm,sem,precipitation,mm day-1,10,1.0
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,RRm,sem,precipitation,mm day-1,1,1.0
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,RRm,sem,precipitation,mm day-1,4,1.0
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,RRm,sem,precipitation,mm day-1,7,
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,RRm,sem,precipitation,mm day-1,10,1.0
03101_Braunschweig,RRm,sem,precipitation,mm day-1,1,1.0
03101_Braunschweig,RRm,sem,precipitation,mm day-1,4,1.0
03101_Braunschweig,RRm,sem,precipitation,mm day-1,7,
03101_Braunschweig,RRm,sem,precipitation,mm day-1,10,1.0
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,RRm,sem,precipitation,mm day-1,1,1.0
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,RRm,sem,precipitation,mm day-1,4,1.0
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,RRm,sem,precipitation,mm day-1,7,
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,RRm,sem,precipitation,mm day-1,10,1.0
03102_Salzgitter,RRm,sem,precipitation,mm day-1,1,1.0
03102_Salzgitter,RRm,sem,precipitation,mm day-1,4,1.0
03102_Salzgitter,RRm,sem,precipitation,mm day-1,7,
03102_Salzgitter,RRm,sem,precipitation,mm day-1,10,1.0
03103_03154_03151_Region_um_Wolfsburg,RRm,sem,precipitation,mm day-1,1,1.0
03103_03154_03151_Region_um_Wolfsburg,RRm,sem,precipitation,mm day-1,4,1.0
03103_03154_03151_Region_um_Wolfsburg,RRm,sem,precipitation,mm day-1,7,
03103_03154_03151_Region_um_Wolfsburg,RRm,sem,precipitation,mm day-1,10,1.0
03103_Wolfsburg,RRm,sem,precipitation,mm day-1,1,1.0
03103_Wolfsburg,RRm,sem,precipitation,mm day-1,4,1.0
03103_Wolfsburg,RRm,sem,precipitation,mm day-1,7,
03103_Wolfsburg,RRm,sem,precipitation,mm day-1,10,1.0
03151_Gifhorn,RRm,sem,precipitation,mm day-1,1,1.0
03151_Gifhorn,RRm,sem,precipitation,mm day-1,4,1.0
03151_Gifhorn,RRm,sem,precipitation,mm day-1,7,
03151_Gifhorn,RRm,sem,precipitation,mm day-1,10,1.0
03153_Goslar,RRm,sem,precipitation,mm day-1,1,1.0
03153_Goslar,RRm,sem,precipitation,mm day-1,4,1.0
03153_Goslar,RRm,sem,precipitation,mm day-1,7,
03153_Goslar,RRm,sem,precipitation,mm day-1,10,1.0
03154_Helmstedt,RRm,sem,precipitation,mm day-1,1,1.0
03154_Helmstedt,RRm,sem,precipitation,mm day-1,4,1.0
03154_Helmstedt,RRm,sem,precipitation,mm day-1,7,
03154_Helmstedt,RRm,sem,precipitation,mm day-1,10,1.0
03155_Northeim,RRm,sem,precipitation,mm day-1,1,1.0
03155_Northeim,RRm,sem,precipitation,mm day-1,4,1.0
03155_Northeim,RRm,sem,precipitation,mm day-1,7,
03155_Northeim,RRm,sem,precipitation,mm day-1,10,1.0
03157_Peine,RRm,sem,precipitation,mm day-1,1,1.0
03157_Peine,RRm,sem,precipitation,mm day-1,4,1.0
03157_Peine,RRm,sem,precipitation,mm day-1,7,
03157_Peine,RRm,sem,precipitation,mm day-1,10,1.0
03158_Wolfenbüttel,RRm,sem,precipitation,mm day-1,1,1.0
03158_Wolfenbüttel,RRm,sem,precipitation,mm day-1,4,1.0
03158_Wolfenbüttel,RRm,sem,precipitation,mm day-1,7,
03158_Wolfenbüttel,RRm,sem,precipitation,mm day-1,10,1.0
