region,RRm_sem_3C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-0.009575128555297852,RRm,sem,precipitation,mm day-1,1
01001_01059_Region_um_Flensburg,-0.09884846210479736,RRm,sem,precipitation,mm day-1,4
01001_01059_Region_um_Flensburg,-0.6679935455322266,RRm,sem,precipitation,mm day-1,7
01001_01059_Region_um_Flensburg,-0.35663270950317383,RRm,sem,precipitation,mm day-1,10
01001_Flensburg,-0.10350918769836426,RRm,sem,precipitation,mm day-1,1
01001_Flensburg,-0.11974704265594482,RRm,sem,precipitation,mm day-1,4
01001_Flensburg,-0.7097749710083008,RRm,sem,precipitation,mm day-1,7
01001_Flensburg,-0.42571377754211426,RRm,sem,precipitation,mm day-1,10
01002_01057_01058_Region_um_Kiel,-0.004838466644287109,RRm,sem,precipitation,mm day-1,1
01002_01057_01058_Region_um_Kiel,-0.10815286636352539,RRm,sem,precipitation,mm day-1,4
01002_01057_01058_Region_um_Kiel,-0.5883774757385254,RRm,sem,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,-0.29143571853637695,RRm,sem,precipitation,mm day-1,10
01002_Kiel,-0.03744363784790039,RRm,sem,precipitation,mm day-1,1
01002_Kiel,-0.13440322875976562,RRm,sem,precipitation,mm day-1,4
01002_Kiel,-0.5836859941482544,RRm,sem,precipitation,mm day-1,7
01002_Kiel,-0.3492240905761719,RRm,sem,precipitation,mm day-1,10
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.06171369552612305,RRm,sem,precipitation,mm day-1,1
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.08892929553985596,RRm,sem,precipitation,mm day-1,4
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.5445666313171387,RRm,sem,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.2085113525390625,RRm,sem,precipitation,mm day-1,10
01003_Lübeck,-0.06874120235443115,RRm,sem,precipitation,mm day-1,1
01003_Lübeck,-0.08956921100616455,RRm,sem,precipitation,mm day-1,4
01003_Lübeck,-0.5953909158706665,RRm,sem,precipitation,mm day-1,7
01003_Lübeck,-0.2007746696472168,RRm,sem,precipitation,mm day-1,10
