region,RRm_sem_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.1722667,RRm,sem,precipitation,mm day-1,1
01001_01059_Region_um_Flensburg,0.1301378,RRm,sem,precipitation,mm day-1,4
01001_01059_Region_um_Flensburg,0.0694788,RRm,sem,precipitation,mm day-1,7
01001_01059_Region_um_Flensburg,0.16001792,RRm,sem,precipitation,mm day-1,10
01001_Flensburg,0.1590248,RRm,sem,precipitation,mm day-1,1
01001_Flensburg,0.12585512,RRm,sem,precipitation,mm day-1,4
01001_Flensburg,0.064937904,RRm,sem,precipitation,mm day-1,7
01001_Flensburg,0.124790534,RRm,sem,precipitation,mm day-1,10
01002_01057_01058_Region_um_Kiel,0.18074633,RRm,sem,precipitation,mm day-1,1
01002_01057_01058_Region_um_Kiel,0.13835742,RRm,sem,precipitation,mm day-1,4
01002_01057_01058_Region_um_Kiel,0.083573386,RRm,sem,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.15427643,RRm,sem,precipitation,mm day-1,10
01002_Kiel,0.17138974,RRm,sem,precipitation,mm day-1,1
01002_Kiel,0.13331687,RRm,sem,precipitation,mm day-1,4
01002_Kiel,0.074237436,RRm,sem,precipitation,mm day-1,7
01002_Kiel,0.12496682,RRm,sem,precipitation,mm day-1,10
01003_13074_01055_01053_01062_Region_um_Lübeck,0.15983264,RRm,sem,precipitation,mm day-1,1
01003_13074_01055_01053_01062_Region_um_Lübeck,0.14025426,RRm,sem,precipitation,mm day-1,4
01003_13074_01055_01053_01062_Region_um_Lübeck,0.0930866,RRm,sem,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.10826304,RRm,sem,precipitation,mm day-1,10
01003_Lübeck,0.15236948,RRm,sem,precipitation,mm day-1,1
01003_Lübeck,0.13855754,RRm,sem,precipitation,mm day-1,4
01003_Lübeck,0.088520065,RRm,sem,precipitation,mm day-1,7
01003_Lübeck,0.104772076,RRm,sem,precipitation,mm day-1,10
01004_01058_01060_01057_01002_Region_um_Neumünster,0.17684154,RRm,sem,precipitation,mm day-1,1
01004_01058_01060_01057_01002_Region_um_Neumünster,0.13886498,RRm,sem,precipitation,mm day-1,4
01004_01058_01060_01057_01002_Region_um_Neumünster,0.082384124,RRm,sem,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.15229475,RRm,sem,precipitation,mm day-1,10
01004_Neumünster,0.1812579,RRm,sem,precipitation,mm day-1,1
01004_Neumünster,0.1472827,RRm,sem,precipitation,mm day-1,4
01004_Neumünster,0.08896297,RRm,sem,precipitation,mm day-1,7
01004_Neumünster,0.17236476,RRm,sem,precipitation,mm day-1,10
01051_Dithmarschen,0.24961664,RRm,sem,precipitation,mm day-1,1
01051_Dithmarschen,0.1500371,RRm,sem,precipitation,mm day-1,4
01051_Dithmarschen,0.14160024,RRm,sem,precipitation,mm day-1,7
01051_Dithmarschen,0.3976929,RRm,sem,precipitation,mm day-1,10
01053_Herzogtum Lauenburg,0.15675297,RRm,sem,precipitation,mm day-1,1
01053_Herzogtum Lauenburg,0.13144238,RRm,sem,precipitation,mm day-1,4
01053_Herzogtum Lauenburg,0.07914386,RRm,sem,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,0.108246334,RRm,sem,precipitation,mm day-1,10
01054_Nordfriesland,0.22363064,RRm,sem,precipitation,mm day-1,1
01054_Nordfriesland,0.14383219,RRm,sem,precipitation,mm day-1,4
01054_Nordfriesland,0.11066511,RRm,sem,precipitation,mm day-1,7
01054_Nordfriesland,0.31047124,RRm,sem,precipitation,mm day-1,10
01055_Ostholstein,0.17699723,RRm,sem,precipitation,mm day-1,1
01055_Ostholstein,0.1430743,RRm,sem,precipitation,mm day-1,4
01055_Ostholstein,0.100393884,RRm,sem,precipitation,mm day-1,7
01055_Ostholstein,0.10553947,RRm,sem,precipitation,mm day-1,10
01056_Pinneberg,0.18412276,RRm,sem,precipitation,mm day-1,1
01056_Pinneberg,0.1447882,RRm,sem,precipitation,mm day-1,4
01056_Pinneberg,0.08954962,RRm,sem,precipitation,mm day-1,7
01056_Pinneberg,0.1779145,RRm,sem,precipitation,mm day-1,10
01057_Plön,0.17471845,RRm,sem,precipitation,mm day-1,1
