region,RRm_sem_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01059_Schleswig-Flensburg,-0.3364706039428711,RRm,sem,precipitation,mm day-1,10
01060_Segeberg,-0.02745532989501953,RRm,sem,precipitation,mm day-1,1
01060_Segeberg,-0.023255348205566406,RRm,sem,precipitation,mm day-1,4
01060_Segeberg,-0.988365650177002,RRm,sem,precipitation,mm day-1,7
01060_Segeberg,-0.25781965255737305,RRm,sem,precipitation,mm day-1,10
01061_Steinburg,-0.024033308029174805,RRm,sem,precipitation,mm day-1,1
01061_Steinburg,-0.009093284606933594,RRm,sem,precipitation,mm day-1,4
01061_Steinburg,-0.9828262329101562,RRm,sem,precipitation,mm day-1,7
01061_Steinburg,-0.3455357551574707,RRm,sem,precipitation,mm day-1,10
01062_Stormarn,-0.04386425018310547,RRm,sem,precipitation,mm day-1,1
01062_Stormarn,-0.03037238121032715,RRm,sem,precipitation,mm day-1,4
01062_Stormarn,-1.028104543685913,RRm,sem,precipitation,mm day-1,7
01062_Stormarn,-0.22881078720092773,RRm,sem,precipitation,mm day-1,10
02000_Hamburg,-0.06775093078613281,RRm,sem,precipitation,mm day-1,1
02000_Hamburg,-0.01784992218017578,RRm,sem,precipitation,mm day-1,4
02000_Hamburg,-1.0161082744598389,RRm,sem,precipitation,mm day-1,7
02000_Hamburg,-0.24076449871063232,RRm,sem,precipitation,mm day-1,10
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.03608441352844238,RRm,sem,precipitation,mm day-1,1
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.04424893856048584,RRm,sem,precipitation,mm day-1,4
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.8147299289703369,RRm,sem,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.3141874074935913,RRm,sem,precipitation,mm day-1,10
03101_Braunschweig,0.0312809944152832,RRm,sem,precipitation,mm day-1,1
03101_Braunschweig,-0.0529787540435791,RRm,sem,precipitation,mm day-1,4
03101_Braunschweig,-0.8640391826629639,RRm,sem,precipitation,mm day-1,7
03101_Braunschweig,-0.30619585514068604,RRm,sem,precipitation,mm day-1,10
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-0.007749795913696289,RRm,sem,precipitation,mm day-1,1
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-0.0721135139465332,RRm,sem,precipitation,mm day-1,4
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-0.8321113586425781,RRm,sem,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-0.3344513177871704,RRm,sem,precipitation,mm day-1,10
03102_Salzgitter,0.024626493453979492,RRm,sem,precipitation,mm day-1,1
03102_Salzgitter,-0.057343482971191406,RRm,sem,precipitation,mm day-1,4
03102_Salzgitter,-0.7900445461273193,RRm,sem,precipitation,mm day-1,7
03102_Salzgitter,-0.38014304637908936,RRm,sem,precipitation,mm day-1,10
03103_03154_03151_Region_um_Wolfsburg,0.04297232627868652,RRm,sem,precipitation,mm day-1,1
03103_03154_03151_Region_um_Wolfsburg,-0.032369256019592285,RRm,sem,precipitation,mm day-1,4
03103_03154_03151_Region_um_Wolfsburg,-0.8110427856445312,RRm,sem,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,-0.2902745008468628,RRm,sem,precipitation,mm day-1,10
03103_Wolfsburg,0.04751324653625488,RRm,sem,precipitation,mm day-1,1
03103_Wolfsburg,-0.06225275993347168,RRm,sem,precipitation,mm day-1,4
03103_Wolfsburg,-0.8675856590270996,RRm,sem,precipitation,mm day-1,7
03103_Wolfsburg,-0.29055583477020264,RRm,sem,precipitation,mm day-1,10
03151_Gifhorn,0.038257598876953125,RRm,sem,precipitation,mm day-1,1
03151_Gifhorn,-0.01656162738800049,RRm,sem,precipitation,mm day-1,4
03151_Gifhorn,-0.7409446239471436,RRm,sem,precipitation,mm day-1,7
03151_Gifhorn,-0.28972625732421875,RRm,sem,precipitation,mm day-1,10
03153_Goslar,-0.36165452003479004,RRm,sem,precipitation,mm day-1,1
03153_Goslar,-0.15629816055297852,RRm,sem,precipitation,mm day-1,4
03153_Goslar,-1.1722989082336426,RRm,sem,precipitation,mm day-1,7
03153_Goslar,-0.7045273780822754,RRm,sem,precipitation,mm day-1,10
03154_Helmstedt,0.052572011947631836,RRm,sem,precipitation,mm day-1,1
03154_Helmstedt,-0.0739743709564209,RRm,sem,precipitation,mm day-1,4
03154_Helmstedt,-0.9571714401245117,RRm,sem,precipitation,mm day-1,7
03154_Helmstedt,-0.2914677858352661,RRm,sem,precipitation,mm day-1,10
03155_Northeim,0.01929771900177002,RRm,sem,precipitation,mm day-1,1
03155_Northeim,0.01917862892150879,RRm,sem,precipitation,mm day-1,4
03155_Northeim,-0.8578760623931885,RRm,sem,precipitation,mm day-1,7
