region,RRm_sem_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01062_Stormarn,0.5226602554321289,RRm,sem,precipitation,mm day-1,7
01062_Stormarn,0.3904595375061035,RRm,sem,precipitation,mm day-1,10
02000_Hamburg,0.34469103813171387,RRm,sem,precipitation,mm day-1,1
02000_Hamburg,0.5028157234191895,RRm,sem,precipitation,mm day-1,4
02000_Hamburg,0.5206916332244873,RRm,sem,precipitation,mm day-1,7
02000_Hamburg,0.4132263660430908,RRm,sem,precipitation,mm day-1,10
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.35074758529663086,RRm,sem,precipitation,mm day-1,1
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.47739720344543457,RRm,sem,precipitation,mm day-1,4
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.6538324356079102,RRm,sem,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.3160226345062256,RRm,sem,precipitation,mm day-1,10
03101_Braunschweig,0.38889241218566895,RRm,sem,precipitation,mm day-1,1
03101_Braunschweig,0.47179746627807617,RRm,sem,precipitation,mm day-1,4
03101_Braunschweig,0.667927622795105,RRm,sem,precipitation,mm day-1,7
03101_Braunschweig,0.33975255489349365,RRm,sem,precipitation,mm day-1,10
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.33384180068969727,RRm,sem,precipitation,mm day-1,1
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.4633142948150635,RRm,sem,precipitation,mm day-1,4
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.7008669376373291,RRm,sem,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.3940391540527344,RRm,sem,precipitation,mm day-1,10
03102_Salzgitter,0.37108564376831055,RRm,sem,precipitation,mm day-1,1
03102_Salzgitter,0.37809133529663086,RRm,sem,precipitation,mm day-1,4
03102_Salzgitter,0.6531744003295898,RRm,sem,precipitation,mm day-1,7
03102_Salzgitter,0.3459818363189697,RRm,sem,precipitation,mm day-1,10
03103_03154_03151_Region_um_Wolfsburg,0.34228086471557617,RRm,sem,precipitation,mm day-1,1
03103_03154_03151_Region_um_Wolfsburg,0.5243971347808838,RRm,sem,precipitation,mm day-1,4
03103_03154_03151_Region_um_Wolfsburg,0.6464388370513916,RRm,sem,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,0.30997800827026367,RRm,sem,precipitation,mm day-1,10
03103_Wolfsburg,0.34251153469085693,RRm,sem,precipitation,mm day-1,1
03103_Wolfsburg,0.5919270515441895,RRm,sem,precipitation,mm day-1,4
03103_Wolfsburg,0.6840493679046631,RRm,sem,precipitation,mm day-1,7
03103_Wolfsburg,0.28939616680145264,RRm,sem,precipitation,mm day-1,10
03151_Gifhorn,0.35619497299194336,RRm,sem,precipitation,mm day-1,1
03151_Gifhorn,0.5261349678039551,RRm,sem,precipitation,mm day-1,4
03151_Gifhorn,0.63123619556427,RRm,sem,precipitation,mm day-1,7
03151_Gifhorn,0.3303103446960449,RRm,sem,precipitation,mm day-1,10
03153_Goslar,0.3972969055175781,RRm,sem,precipitation,mm day-1,1
03153_Goslar,0.6938505172729492,RRm,sem,precipitation,mm day-1,4
03153_Goslar,0.8477404117584229,RRm,sem,precipitation,mm day-1,7
03153_Goslar,0.5279433727264404,RRm,sem,precipitation,mm day-1,10
03154_Helmstedt,0.3097323179244995,RRm,sem,precipitation,mm day-1,1
03154_Helmstedt,0.4994642734527588,RRm,sem,precipitation,mm day-1,4
03154_Helmstedt,0.7333970069885254,RRm,sem,precipitation,mm day-1,7
03154_Helmstedt,0.30626678466796875,RRm,sem,precipitation,mm day-1,10
03155_Northeim,0.3857240676879883,RRm,sem,precipitation,mm day-1,1
03155_Northeim,0.36312055587768555,RRm,sem,precipitation,mm day-1,4
03155_Northeim,0.6092922687530518,RRm,sem,precipitation,mm day-1,7
03155_Northeim,0.3952585458755493,RRm,sem,precipitation,mm day-1,10
03157_Peine,0.3536336421966553,RRm,sem,precipitation,mm day-1,1
03157_Peine,0.42820167541503906,RRm,sem,precipitation,mm day-1,4
03157_Peine,0.6526480913162231,RRm,sem,precipitation,mm day-1,7
03157_Peine,0.37878966331481934,RRm,sem,precipitation,mm day-1,10
03158_Wolfenbüttel,0.36039531230926514,RRm,sem,precipitation,mm day-1,1
03158_Wolfenbüttel,0.38816285133361816,RRm,sem,precipitation,mm day-1,4
03158_Wolfenbüttel,0.6987559795379639,RRm,sem,precipitation,mm day-1,7
03158_Wolfenbüttel,0.3316441774368286,RRm,sem,precipitation,mm day-1,10
03159_Göttingen,0.46207571029663086,RRm,sem,precipitation,mm day-1,1
03159_Göttingen,0.4095132350921631,RRm,sem,precipitation,mm day-1,4
03159_Göttingen,0.6425607204437256,RRm,sem,precipitation,mm day-1,7
03159_Göttingen,0.4172677993774414,RRm,sem,precipitation,mm day-1,10
03241_Region Hannover,0.33889496326446533,RRm,sem,precipitation,mm day-1,1
03241_Region Hannover,0.3664376735687256,RRm,sem,precipitation,mm day-1,4
03241_Region Hannover,0.6082253456115723,RRm,sem,precipitation,mm day-1,7
03241_Region Hannover,0.39266443252563477,RRm,sem,precipitation,mm day-1,10
03251_Diepholz,0.35869455337524414,RRm,sem,precipitation,mm day-1,1
03251_Diepholz,0.4442462921142578,RRm,sem,precipitation,mm day-1,4
03251_Diepholz,0.4673497676849365,RRm,sem,precipitation,mm day-1,7
03251_Diepholz,0.3789466619491577,RRm,sem,precipitation,mm day-1,10
03252_Hameln-Pyrmont,0.3116563558578491,RRm,sem,precipitation,mm day-1,1
03252_Hameln-Pyrmont,0.4087944030761719,RRm,sem,precipitation,mm day-1,4
03252_Hameln-Pyrmont,0.6303184032440186,RRm,sem,precipitation,mm day-1,7
03252_Hameln-Pyrmont,0.42603421211242676,RRm,sem,precipitation,mm day-1,10
03254_Hildesheim,0.3226895332336426,RRm,sem,precipitation,mm day-1,1
