region,RRm_sem_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01062_Stormarn,0.05319833755493164,RRm,sem,precipitation,mm day-1,7
01062_Stormarn,0.09238827228546143,RRm,sem,precipitation,mm day-1,10
02000_Hamburg,0.1973106861114502,RRm,sem,precipitation,mm day-1,1
02000_Hamburg,0.12231159210205078,RRm,sem,precipitation,mm day-1,4
02000_Hamburg,0.05717754364013672,RRm,sem,precipitation,mm day-1,7
02000_Hamburg,0.09621882438659668,RRm,sem,precipitation,mm day-1,10
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.1752328872680664,RRm,sem,precipitation,mm day-1,1
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.13782548904418945,RRm,sem,precipitation,mm day-1,4
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.053867340087890625,RRm,sem,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.07129073143005371,RRm,sem,precipitation,mm day-1,10
03101_Braunschweig,0.17967140674591064,RRm,sem,precipitation,mm day-1,1
03101_Braunschweig,0.1407402753829956,RRm,sem,precipitation,mm day-1,4
03101_Braunschweig,0.06478404998779297,RRm,sem,precipitation,mm day-1,7
03101_Braunschweig,0.10804152488708496,RRm,sem,precipitation,mm day-1,10
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.18282437324523926,RRm,sem,precipitation,mm day-1,1
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.1643533706665039,RRm,sem,precipitation,mm day-1,4
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.08431029319763184,RRm,sem,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.10188329219818115,RRm,sem,precipitation,mm day-1,10
03102_Salzgitter,0.15888535976409912,RRm,sem,precipitation,mm day-1,1
03102_Salzgitter,0.14195680618286133,RRm,sem,precipitation,mm day-1,4
03102_Salzgitter,0.06812310218811035,RRm,sem,precipitation,mm day-1,7
03102_Salzgitter,0.09983503818511963,RRm,sem,precipitation,mm day-1,10
03103_03154_03151_Region_um_Wolfsburg,0.1776294708251953,RRm,sem,precipitation,mm day-1,1
03103_03154_03151_Region_um_Wolfsburg,0.13700556755065918,RRm,sem,precipitation,mm day-1,4
03103_03154_03151_Region_um_Wolfsburg,0.04741930961608887,RRm,sem,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,0.07765746116638184,RRm,sem,precipitation,mm day-1,10
03103_Wolfsburg,0.1609029769897461,RRm,sem,precipitation,mm day-1,1
03103_Wolfsburg,0.15695178508758545,RRm,sem,precipitation,mm day-1,4
03103_Wolfsburg,0.025460004806518555,RRm,sem,precipitation,mm day-1,7
03103_Wolfsburg,0.06815505027770996,RRm,sem,precipitation,mm day-1,10
03151_Gifhorn,0.1952195167541504,RRm,sem,precipitation,mm day-1,1
03151_Gifhorn,0.13284754753112793,RRm,sem,precipitation,mm day-1,4
03151_Gifhorn,0.03532087802886963,RRm,sem,precipitation,mm day-1,7
03151_Gifhorn,0.07362031936645508,RRm,sem,precipitation,mm day-1,10
03153_Goslar,0.1934340000152588,RRm,sem,precipitation,mm day-1,1
03153_Goslar,0.15801644325256348,RRm,sem,precipitation,mm day-1,4
03153_Goslar,0.03884768486022949,RRm,sem,precipitation,mm day-1,7
