region,RRm_sem_4C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.38766465,RRm,sem,precipitation,mm day-1,1
01001_01059_Region_um_Flensburg,0.343102,RRm,sem,precipitation,mm day-1,4
01001_01059_Region_um_Flensburg,-0.15936102,RRm,sem,precipitation,mm day-1,7
01001_01059_Region_um_Flensburg,0.22158371,RRm,sem,precipitation,mm day-1,10
01001_Flensburg,0.37643352,RRm,sem,precipitation,mm day-1,1
01001_Flensburg,0.34611082,RRm,sem,precipitation,mm day-1,4
01001_Flensburg,-0.18292528,RRm,sem,precipitation,mm day-1,7
01001_Flensburg,0.20115095,RRm,sem,precipitation,mm day-1,10
01002_01057_01058_Region_um_Kiel,0.3495433,RRm,sem,precipitation,mm day-1,1
01002_01057_01058_Region_um_Kiel,0.3183093,RRm,sem,precipitation,mm day-1,4
01002_01057_01058_Region_um_Kiel,-0.13342519,RRm,sem,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.20196147,RRm,sem,precipitation,mm day-1,10
01002_Kiel,0.3187884,RRm,sem,precipitation,mm day-1,1
01002_Kiel,0.31095245,RRm,sem,precipitation,mm day-1,4
01002_Kiel,-0.14912455,RRm,sem,precipitation,mm day-1,7
01002_Kiel,0.16511971,RRm,sem,precipitation,mm day-1,10
01003_13074_01055_01053_01062_Region_um_Lübeck,0.2844004,RRm,sem,precipitation,mm day-1,1
01003_13074_01055_01053_01062_Region_um_Lübeck,0.28610012,RRm,sem,precipitation,mm day-1,4
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.069735736,RRm,sem,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.14353064,RRm,sem,precipitation,mm day-1,10
01003_Lübeck,0.27704874,RRm,sem,precipitation,mm day-1,1
01003_Lübeck,0.28214225,RRm,sem,precipitation,mm day-1,4
01003_Lübeck,-0.07627777,RRm,sem,precipitation,mm day-1,7
01003_Lübeck,0.14755882,RRm,sem,precipitation,mm day-1,10
01004_01058_01060_01057_01002_Region_um_Neumünster,0.34022886,RRm,sem,precipitation,mm day-1,1
01004_01058_01060_01057_01002_Region_um_Neumünster,0.31316656,RRm,sem,precipitation,mm day-1,4
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.13214114,RRm,sem,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.19951548,RRm,sem,precipitation,mm day-1,10
01004_Neumünster,0.35708734,RRm,sem,precipitation,mm day-1,1
01004_Neumünster,0.3184726,RRm,sem,precipitation,mm day-1,4
01004_Neumünster,-0.14604264,RRm,sem,precipitation,mm day-1,7
01004_Neumünster,0.2247181,RRm,sem,precipitation,mm day-1,10
01051_Dithmarschen,0.5467484,RRm,sem,precipitation,mm day-1,1
01051_Dithmarschen,0.35545975,RRm,sem,precipitation,mm day-1,4
01051_Dithmarschen,-0.11563778,RRm,sem,precipitation,mm day-1,7
01051_Dithmarschen,0.4198238,RRm,sem,precipitation,mm day-1,10
01053_Herzogtum Lauenburg,0.27619898,RRm,sem,precipitation,mm day-1,1
