region,RRm_sem_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01059_Schleswig-Flensburg,-0.39967942237854004,RRm,sem,precipitation,mm day-1,7
01059_Schleswig-Flensburg,-0.5214667320251465,RRm,sem,precipitation,mm day-1,10
01060_Segeberg,-0.39336657524108887,RRm,sem,precipitation,mm day-1,1
01060_Segeberg,-0.20747196674346924,RRm,sem,precipitation,mm day-1,4
01060_Segeberg,-0.3098258972167969,RRm,sem,precipitation,mm day-1,7
01060_Segeberg,-0.33023786544799805,RRm,sem,precipitation,mm day-1,10
01061_Steinburg,-0.48784399032592773,RRm,sem,precipitation,mm day-1,1
01061_Steinburg,-0.23992908000946045,RRm,sem,precipitation,mm day-1,4
01061_Steinburg,-0.3876783847808838,RRm,sem,precipitation,mm day-1,7
01061_Steinburg,-0.35286617279052734,RRm,sem,precipitation,mm day-1,10
01062_Stormarn,-0.38272953033447266,RRm,sem,precipitation,mm day-1,1
01062_Stormarn,-0.18714380264282227,RRm,sem,precipitation,mm day-1,4
01062_Stormarn,-0.31311488151550293,RRm,sem,precipitation,mm day-1,7
01062_Stormarn,-0.32095396518707275,RRm,sem,precipitation,mm day-1,10
02000_Hamburg,-0.3929567337036133,RRm,sem,precipitation,mm day-1,1
02000_Hamburg,-0.21188926696777344,RRm,sem,precipitation,mm day-1,4
02000_Hamburg,-0.34181809425354004,RRm,sem,precipitation,mm day-1,7
02000_Hamburg,-0.26286280155181885,RRm,sem,precipitation,mm day-1,10
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.34969425201416016,RRm,sem,precipitation,mm day-1,1
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.09922301769256592,RRm,sem,precipitation,mm day-1,4
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.276716947555542,RRm,sem,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,-0.33282172679901123,RRm,sem,precipitation,mm day-1,10
03101_Braunschweig,-0.4471700191497803,RRm,sem,precipitation,mm day-1,1
03101_Braunschweig,-0.08916544914245605,RRm,sem,precipitation,mm day-1,4
03101_Braunschweig,-0.29837942123413086,RRm,sem,precipitation,mm day-1,7
03101_Braunschweig,-0.3468400239944458,RRm,sem,precipitation,mm day-1,10
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-0.4138979911804199,RRm,sem,precipitation,mm day-1,1
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-0.1313403844833374,RRm,sem,precipitation,mm day-1,4
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-0.2776225805282593,RRm,sem,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,-0.42090272903442383,RRm,sem,precipitation,mm day-1,10
03102_Salzgitter,-0.29561471939086914,RRm,sem,precipitation,mm day-1,1
03102_Salzgitter,-0.09489977359771729,RRm,sem,precipitation,mm day-1,4
03102_Salzgitter,-0.2918534278869629,RRm,sem,precipitation,mm day-1,7
03102_Salzgitter,-0.3456302881240845,RRm,sem,precipitation,mm day-1,10
03103_03154_03151_Region_um_Wolfsburg,-0.34984076023101807,RRm,sem,precipitation,mm day-1,1
03103_03154_03151_Region_um_Wolfsburg,-0.11068606376647949,RRm,sem,precipitation,mm day-1,4
03103_03154_03151_Region_um_Wolfsburg,-0.2870628833770752,RRm,sem,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,-0.3214002847671509,RRm,sem,precipitation,mm day-1,10
03103_Wolfsburg,-0.3523519039154053,RRm,sem,precipitation,mm day-1,1
03103_Wolfsburg,-0.15191495418548584,RRm,sem,precipitation,mm day-1,4
03103_Wolfsburg,-0.30199408531188965,RRm,sem,precipitation,mm day-1,7
03103_Wolfsburg,-0.32425498962402344,RRm,sem,precipitation,mm day-1,10
03151_Gifhorn,-0.37641406059265137,RRm,sem,precipitation,mm day-1,1
03151_Gifhorn,-0.11635661125183105,RRm,sem,precipitation,mm day-1,4
03151_Gifhorn,-0.3139157295227051,RRm,sem,precipitation,mm day-1,7
03151_Gifhorn,-0.3126460313796997,RRm,sem,precipitation,mm day-1,10
03153_Goslar,-0.7985677719116211,RRm,sem,precipitation,mm day-1,1
03153_Goslar,-0.19346046447753906,RRm,sem,precipitation,mm day-1,4
03153_Goslar,-0.39126622676849365,RRm,sem,precipitation,mm day-1,7
03153_Goslar,-0.5907095670700073,RRm,sem,precipitation,mm day-1,10
03154_Helmstedt,-0.2870432138442993,RRm,sem,precipitation,mm day-1,1
03154_Helmstedt,-0.08470618724822998,RRm,sem,precipitation,mm day-1,4
03154_Helmstedt,-0.3471980094909668,RRm,sem,precipitation,mm day-1,7
03154_Helmstedt,-0.3409491777420044,RRm,sem,precipitation,mm day-1,10
03155_Northeim,-0.4044806957244873,RRm,sem,precipitation,mm day-1,1
03155_Northeim,-0.18689894676208496,RRm,sem,precipitation,mm day-1,4
03155_Northeim,-0.27362513542175293,RRm,sem,precipitation,mm day-1,7
03155_Northeim,-0.44628942012786865,RRm,sem,precipitation,mm day-1,10
03157_Peine,-0.3844442367553711,RRm,sem,precipitation,mm day-1,1
03157_Peine,-0.09154117107391357,RRm,sem,precipitation,mm day-1,4
03157_Peine,-0.27124476432800293,RRm,sem,precipitation,mm day-1,7
03157_Peine,-0.34833431243896484,RRm,sem,precipitation,mm day-1,10
03158_Wolfenbüttel,-0.3143043518066406,RRm,sem,precipitation,mm day-1,1
03158_Wolfenbüttel,-0.08025836944580078,RRm,sem,precipitation,mm day-1,4
03158_Wolfenbüttel,-0.31195998191833496,RRm,sem,precipitation,mm day-1,7
03158_Wolfenbüttel,-0.35214221477508545,RRm,sem,precipitation,mm day-1,10
03159_Göttingen,-0.5273005962371826,RRm,sem,precipitation,mm day-1,1
03159_Göttingen,-0.16328942775726318,RRm,sem,precipitation,mm day-1,4
03159_Göttingen,-0.2918117046356201,RRm,sem,precipitation,mm day-1,7
03159_Göttingen,-0.48111116886138916,RRm,sem,precipitation,mm day-1,10
03241_Region Hannover,-0.4071156978607178,RRm,sem,precipitation,mm day-1,1
03241_Region Hannover,-0.13718163967132568,RRm,sem,precipitation,mm day-1,4
03241_Region Hannover,-0.3955209255218506,RRm,sem,precipitation,mm day-1,7
03241_Region Hannover,-0.3726130723953247,RRm,sem,precipitation,mm day-1,10
03251_Diepholz,-0.39986181259155273,RRm,sem,precipitation,mm day-1,1
03251_Diepholz,-0.24116218090057373,RRm,sem,precipitation,mm day-1,4
03251_Diepholz,-0.34137797355651855,RRm,sem,precipitation,mm day-1,7
03251_Diepholz,-0.36033129692077637,RRm,sem,precipitation,mm day-1,10
03252_Hameln-Pyrmont,-0.3796074390411377,RRm,sem,precipitation,mm day-1,1
03252_Hameln-Pyrmont,-0.15263748168945312,RRm,sem,precipitation,mm day-1,4
03252_Hameln-Pyrmont,-0.29607582092285156,RRm,sem,precipitation,mm day-1,7
03252_Hameln-Pyrmont,-0.43315601348876953,RRm,sem,precipitation,mm day-1,10
03254_Hildesheim,-0.3877851963043213,RRm,sem,precipitation,mm day-1,1
03254_Hildesheim,-0.1496793031692505,RRm,sem,precipitation,mm day-1,4
03254_Hildesheim,-0.287031888961792,RRm,sem,precipitation,mm day-1,7
03254_Hildesheim,-0.3848370313644409,RRm,sem,precipitation,mm day-1,10
03255_Holzminden,-0.39681482315063477,RRm,sem,precipitation,mm day-1,1
03255_Holzminden,-0.19826996326446533,RRm,sem,precipitation,mm day-1,4
