region,RRm_sem_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,-0.4459402561187744,RRm,sem,precipitation,mm day-1,1
01001_01059_Region_um_Flensburg,-0.16322827339172363,RRm,sem,precipitation,mm day-1,4
01001_01059_Region_um_Flensburg,-0.5170319080352783,RRm,sem,precipitation,mm day-1,7
01001_01059_Region_um_Flensburg,-0.3002040386199951,RRm,sem,precipitation,mm day-1,10
01001_Flensburg,-0.5050804615020752,RRm,sem,precipitation,mm day-1,1
01001_Flensburg,-0.18956255912780762,RRm,sem,precipitation,mm day-1,4
01001_Flensburg,-0.5846250057220459,RRm,sem,precipitation,mm day-1,7
01001_Flensburg,-0.29830217361450195,RRm,sem,precipitation,mm day-1,10
01002_01057_01058_Region_um_Kiel,-0.2914137840270996,RRm,sem,precipitation,mm day-1,1
01002_01057_01058_Region_um_Kiel,-0.12772250175476074,RRm,sem,precipitation,mm day-1,4
01002_01057_01058_Region_um_Kiel,-0.4751546382904053,RRm,sem,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,-0.19334650039672852,RRm,sem,precipitation,mm day-1,10
01002_Kiel,-0.29137563705444336,RRm,sem,precipitation,mm day-1,1
01002_Kiel,-0.1234595775604248,RRm,sem,precipitation,mm day-1,4
01002_Kiel,-0.46590614318847656,RRm,sem,precipitation,mm day-1,7
01002_Kiel,-0.17181134223937988,RRm,sem,precipitation,mm day-1,10
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.22317051887512207,RRm,sem,precipitation,mm day-1,1
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.14407682418823242,RRm,sem,precipitation,mm day-1,4
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.3002755641937256,RRm,sem,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.18189001083374023,RRm,sem,precipitation,mm day-1,10
01003_Lübeck,-0.20808744430541992,RRm,sem,precipitation,mm day-1,1
01003_Lübeck,-0.1879425048828125,RRm,sem,precipitation,mm day-1,4
01003_Lübeck,-0.32879185676574707,RRm,sem,precipitation,mm day-1,7
01003_Lübeck,-0.211250901222229,RRm,sem,precipitation,mm day-1,10
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.2944498062133789,RRm,sem,precipitation,mm day-1,1
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.1367185115814209,RRm,sem,precipitation,mm day-1,4
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.4619326591491699,RRm,sem,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.1883535385131836,RRm,sem,precipitation,mm day-1,10
01004_Neumünster,-0.3063523769378662,RRm,sem,precipitation,mm day-1,1
01004_Neumünster,-0.2115919589996338,RRm,sem,precipitation,mm day-1,4
01004_Neumünster,-0.5337491035461426,RRm,sem,precipitation,mm day-1,7
