region,RRm_sem_2C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01062_Stormarn,0.5055088996887207,RRm,sem,precipitation,mm day-1,10
02000_Hamburg,0.5197062492370605,RRm,sem,precipitation,mm day-1,1
02000_Hamburg,0.4833226203918457,RRm,sem,precipitation,mm day-1,4
02000_Hamburg,0.6392209529876709,RRm,sem,precipitation,mm day-1,7
02000_Hamburg,0.5903549194335938,RRm,sem,precipitation,mm day-1,10
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.47255873680114746,RRm,sem,precipitation,mm day-1,1
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.44552111625671387,RRm,sem,precipitation,mm day-1,4
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.6219141483306885,RRm,sem,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.4586498737335205,RRm,sem,precipitation,mm day-1,10
03101_Braunschweig,0.5064818859100342,RRm,sem,precipitation,mm day-1,1
03101_Braunschweig,0.40867066383361816,RRm,sem,precipitation,mm day-1,4
03101_Braunschweig,0.6363976001739502,RRm,sem,precipitation,mm day-1,7
03101_Braunschweig,0.48174476623535156,RRm,sem,precipitation,mm day-1,10
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.5694169998168945,RRm,sem,precipitation,mm day-1,1
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.5060358047485352,RRm,sem,precipitation,mm day-1,4
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.6460609436035156,RRm,sem,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.5774834156036377,RRm,sem,precipitation,mm day-1,10
03102_Salzgitter,0.47695422172546387,RRm,sem,precipitation,mm day-1,1
03102_Salzgitter,0.4068782329559326,RRm,sem,precipitation,mm day-1,4
03102_Salzgitter,0.6357542276382446,RRm,sem,precipitation,mm day-1,7
03102_Salzgitter,0.5093238353729248,RRm,sem,precipitation,mm day-1,10
