region,RRm_sem_3C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.25820744,RRm,sem,precipitation,mm day-1,1
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.19101362,RRm,sem,precipitation,mm day-1,4
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.027948314,RRm,sem,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.1211502,RRm,sem,precipitation,mm day-1,10
03101_Braunschweig,0.2649919,RRm,sem,precipitation,mm day-1,1
03101_Braunschweig,0.1947203,RRm,sem,precipitation,mm day-1,4
03101_Braunschweig,0.029364334,RRm,sem,precipitation,mm day-1,7
03101_Braunschweig,0.13394897,RRm,sem,precipitation,mm day-1,10
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.27409646,RRm,sem,precipitation,mm day-1,1
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.19938545,RRm,sem,precipitation,mm day-1,4
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.013397175,RRm,sem,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.11969339,RRm,sem,precipitation,mm day-1,10
03102_Salzgitter,0.2564158,RRm,sem,precipitation,mm day-1,1
03102_Salzgitter,0.1900114,RRm,sem,precipitation,mm day-1,4
03102_Salzgitter,0.045173585,RRm,sem,precipitation,mm day-1,7
03102_Salzgitter,0.12491223,RRm,sem,precipitation,mm day-1,10
03103_03154_03151_Region_um_Wolfsburg,0.25662622,RRm,sem,precipitation,mm day-1,1
03103_03154_03151_Region_um_Wolfsburg,0.19145302,RRm,sem,precipitation,mm day-1,4
03103_03154_03151_Region_um_Wolfsburg,0.02204347,RRm,sem,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,0.11705656,RRm,sem,precipitation,mm day-1,10
03103_Wolfsburg,0.25427142,RRm,sem,precipitation,mm day-1,1
03103_Wolfsburg,0.19208644,RRm,sem,precipitation,mm day-1,4
03103_Wolfsburg,0.026424248,RRm,sem,precipitation,mm day-1,7
03103_Wolfsburg,0.116270095,RRm,sem,precipitation,mm day-1,10
03151_Gifhorn,0.25623402,RRm,sem,precipitation,mm day-1,1
03151_Gifhorn,0.1925657,RRm,sem,precipitation,mm day-1,4
03151_Gifhorn,0.019808749,RRm,sem,precipitation,mm day-1,7
03151_Gifhorn,0.11696005,RRm,sem,precipitation,mm day-1,10
03153_Goslar,0.3029431,RRm,sem,precipitation,mm day-1,1
03153_Goslar,0.22853145,RRm,sem,precipitation,mm day-1,4
