region,RRm_sem_4C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_01059_Region_um_Flensburg,0.3892015218734741,RRm,sem,precipitation,mm day-1,1
01001_01059_Region_um_Flensburg,0.3172037601470947,RRm,sem,precipitation,mm day-1,4
01001_01059_Region_um_Flensburg,-0.17141127586364746,RRm,sem,precipitation,mm day-1,7
01001_01059_Region_um_Flensburg,0.22487127780914307,RRm,sem,precipitation,mm day-1,10
01001_Flensburg,0.3480020761489868,RRm,sem,precipitation,mm day-1,1
01001_Flensburg,0.3128970265388489,RRm,sem,precipitation,mm day-1,4
01001_Flensburg,-0.19340598583221436,RRm,sem,precipitation,mm day-1,7
01001_Flensburg,0.2194427251815796,RRm,sem,precipitation,mm day-1,10
01002_01057_01058_Region_um_Kiel,0.33865559101104736,RRm,sem,precipitation,mm day-1,1
01002_01057_01058_Region_um_Kiel,0.30210208892822266,RRm,sem,precipitation,mm day-1,4
01002_01057_01058_Region_um_Kiel,-0.16917765140533447,RRm,sem,precipitation,mm day-1,7
01002_01057_01058_Region_um_Kiel,0.19044405221939087,RRm,sem,precipitation,mm day-1,10
01002_Kiel,0.3241841793060303,RRm,sem,precipitation,mm day-1,1
01002_Kiel,0.31054842472076416,RRm,sem,precipitation,mm day-1,4
01002_Kiel,-0.16283822059631348,RRm,sem,precipitation,mm day-1,7
01002_Kiel,0.1462203860282898,RRm,sem,precipitation,mm day-1,10
01003_13074_01055_01053_01062_Region_um_Lübeck,0.2332630753517151,RRm,sem,precipitation,mm day-1,1
01003_13074_01055_01053_01062_Region_um_Lübeck,0.27257823944091797,RRm,sem,precipitation,mm day-1,4
01003_13074_01055_01053_01062_Region_um_Lübeck,-0.06292998790740967,RRm,sem,precipitation,mm day-1,7
01003_13074_01055_01053_01062_Region_um_Lübeck,0.14444732666015625,RRm,sem,precipitation,mm day-1,10
01003_Lübeck,0.22472858428955078,RRm,sem,precipitation,mm day-1,1
01003_Lübeck,0.2748267650604248,RRm,sem,precipitation,mm day-1,4
01003_Lübeck,-0.10230034589767456,RRm,sem,precipitation,mm day-1,7
01003_Lübeck,0.12752139568328857,RRm,sem,precipitation,mm day-1,10
01004_01058_01060_01057_01002_Region_um_Neumünster,0.3147627115249634,RRm,sem,precipitation,mm day-1,1
01004_01058_01060_01057_01002_Region_um_Neumünster,0.2968665361404419,RRm,sem,precipitation,mm day-1,4
01004_01058_01060_01057_01002_Region_um_Neumünster,-0.16764956712722778,RRm,sem,precipitation,mm day-1,7
01004_01058_01060_01057_01002_Region_um_Neumünster,0.1871287226676941,RRm,sem,precipitation,mm day-1,10
01004_Neumünster,0.31175315380096436,RRm,sem,precipitation,mm day-1,1
01004_Neumünster,0.2777515649795532,RRm,sem,precipitation,mm day-1,4
01004_Neumünster,-0.1351691484451294,RRm,sem,precipitation,mm day-1,7
01004_Neumünster,0.22388982772827148,RRm,sem,precipitation,mm day-1,10
01051_Dithmarschen,0.47672080993652344,RRm,sem,precipitation,mm day-1,1
01051_Dithmarschen,0.3931396007537842,RRm,sem,precipitation,mm day-1,4
01051_Dithmarschen,-0.12886571884155273,RRm,sem,precipitation,mm day-1,7
01051_Dithmarschen,0.40818750858306885,RRm,sem,precipitation,mm day-1,10
01053_Herzogtum Lauenburg,0.22050988674163818,RRm,sem,precipitation,mm day-1,1
01053_Herzogtum Lauenburg,0.26925987005233765,RRm,sem,precipitation,mm day-1,4
01053_Herzogtum Lauenburg,-0.06744974851608276,RRm,sem,precipitation,mm day-1,7
01053_Herzogtum Lauenburg,0.09938287734985352,RRm,sem,precipitation,mm day-1,10
01054_Nordfriesland,0.4963020086288452,RRm,sem,precipitation,mm day-1,1
01054_Nordfriesland,0.3962782025337219,RRm,sem,precipitation,mm day-1,4
01054_Nordfriesland,-0.1860496997833252,RRm,sem,precipitation,mm day-1,7
01054_Nordfriesland,0.3253476619720459,RRm,sem,precipitation,mm day-1,10
01055_Ostholstein,0.27025705575942993,RRm,sem,precipitation,mm day-1,1
01055_Ostholstein,0.2937963604927063,RRm,sem,precipitation,mm day-1,4
01055_Ostholstein,-0.09865391254425049,RRm,sem,precipitation,mm day-1,7
01055_Ostholstein,0.15950560569763184,RRm,sem,precipitation,mm day-1,10
01056_Pinneberg,0.23334002494812012,RRm,sem,precipitation,mm day-1,1
01056_Pinneberg,0.2759069800376892,RRm,sem,precipitation,mm day-1,4
01056_Pinneberg,-0.12987536191940308,RRm,sem,precipitation,mm day-1,7
01056_Pinneberg,0.19659197330474854,RRm,sem,precipitation,mm day-1,10
01057_Plön,0.2902275323867798,RRm,sem,precipitation,mm day-1,1
01057_Plön,0.32373863458633423,RRm,sem,precipitation,mm day-1,4
01057_Plön,-0.15625250339508057,RRm,sem,precipitation,mm day-1,7
01057_Plön,0.1482788324356079,RRm,sem,precipitation,mm day-1,10
01058_Rendsburg-Eckernförde,0.3470686674118042,RRm,sem,precipitation,mm day-1,1
01058_Rendsburg-Eckernförde,0.30297303199768066,RRm,sem,precipitation,mm day-1,4
01058_Rendsburg-Eckernförde,-0.16282355785369873,RRm,sem,precipitation,mm day-1,7
01058_Rendsburg-Eckernförde,0.22889751195907593,RRm,sem,precipitation,mm day-1,10
01059_Schleswig-Flensburg,0.3888701796531677,RRm,sem,precipitation,mm day-1,1
01059_Schleswig-Flensburg,0.31735336780548096,RRm,sem,precipitation,mm day-1,4
01059_Schleswig-Flensburg,-0.17162299156188965,RRm,sem,precipitation,mm day-1,7
01059_Schleswig-Flensburg,0.22546136379241943,RRm,sem,precipitation,mm day-1,10
01060_Segeberg,0.2585364580154419,RRm,sem,precipitation,mm day-1,1
01060_Segeberg,0.28976958990097046,RRm,sem,precipitation,mm day-1,4
01060_Segeberg,-0.1422717571258545,RRm,sem,precipitation,mm day-1,7
01060_Segeberg,0.15536069869995117,RRm,sem,precipitation,mm day-1,10
01061_Steinburg,0.32221370935440063,RRm,sem,precipitation,mm day-1,1
01061_Steinburg,0.30440205335617065,RRm,sem,precipitation,mm day-1,4
01061_Steinburg,-0.12940764427185059,RRm,sem,precipitation,mm day-1,7
01061_Steinburg,0.28303682804107666,RRm,sem,precipitation,mm day-1,10
01062_Stormarn,0.2291264533996582,RRm,sem,precipitation,mm day-1,1
01062_Stormarn,0.2714025378227234,RRm,sem,precipitation,mm day-1,4
01062_Stormarn,-0.08075225353240967,RRm,sem,precipitation,mm day-1,7
01062_Stormarn,0.10792195796966553,RRm,sem,precipitation,mm day-1,10
02000_Hamburg,0.20953154563903809,RRm,sem,precipitation,mm day-1,1
02000_Hamburg,0.2612461447715759,RRm,sem,precipitation,mm day-1,4
02000_Hamburg,-0.06213325262069702,RRm,sem,precipitation,mm day-1,7
02000_Hamburg,0.16590023040771484,RRm,sem,precipitation,mm day-1,10
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.2090778350830078,RRm,sem,precipitation,mm day-1,1
