region,RRm_sem_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01060_Segeberg,0.09405088424682617,RRm,sem,precipitation,mm day-1,1
01060_Segeberg,0.12752723693847656,RRm,sem,precipitation,mm day-1,4
01060_Segeberg,0.06717920303344727,RRm,sem,precipitation,mm day-1,7
01060_Segeberg,0.08460593223571777,RRm,sem,precipitation,mm day-1,10
01061_Steinburg,0.1119234561920166,RRm,sem,precipitation,mm day-1,1
01061_Steinburg,0.1278996467590332,RRm,sem,precipitation,mm day-1,4
01061_Steinburg,0.07850408554077148,RRm,sem,precipitation,mm day-1,7
01061_Steinburg,0.11571907997131348,RRm,sem,precipitation,mm day-1,10
01062_Stormarn,0.09821367263793945,RRm,sem,precipitation,mm day-1,1
01062_Stormarn,0.13551759719848633,RRm,sem,precipitation,mm day-1,4
01062_Stormarn,0.06601309776306152,RRm,sem,precipitation,mm day-1,7
01062_Stormarn,0.07994771003723145,RRm,sem,precipitation,mm day-1,10
02000_Hamburg,0.10832452774047852,RRm,sem,precipitation,mm day-1,1
02000_Hamburg,0.12974929809570312,RRm,sem,precipitation,mm day-1,4
02000_Hamburg,0.03615736961364746,RRm,sem,precipitation,mm day-1,7
02000_Hamburg,0.08115899562835693,RRm,sem,precipitation,mm day-1,10
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.07410609722137451,RRm,sem,precipitation,mm day-1,1
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.14487051963806152,RRm,sem,precipitation,mm day-1,4
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.04140520095825195,RRm,sem,precipitation,mm day-1,7
03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,0.012854814529418945,RRm,sem,precipitation,mm day-1,10
03101_Braunschweig,0.07607889175415039,RRm,sem,precipitation,mm day-1,1
03101_Braunschweig,0.14673066139221191,RRm,sem,precipitation,mm day-1,4
03101_Braunschweig,0.014140605926513672,RRm,sem,precipitation,mm day-1,7
03101_Braunschweig,0.04788684844970703,RRm,sem,precipitation,mm day-1,10
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.04818367958068848,RRm,sem,precipitation,mm day-1,1
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.14768457412719727,RRm,sem,precipitation,mm day-1,4
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.03486156463623047,RRm,sem,precipitation,mm day-1,7
03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,0.01907801628112793,RRm,sem,precipitation,mm day-1,10
03102_Salzgitter,0.07057619094848633,RRm,sem,precipitation,mm day-1,1
03102_Salzgitter,0.1330711841583252,RRm,sem,precipitation,mm day-1,4
03102_Salzgitter,0.04319429397583008,RRm,sem,precipitation,mm day-1,7
03102_Salzgitter,0.028966188430786133,RRm,sem,precipitation,mm day-1,10
03103_03154_03151_Region_um_Wolfsburg,0.07444047927856445,RRm,sem,precipitation,mm day-1,1
03103_03154_03151_Region_um_Wolfsburg,0.128074049949646,RRm,sem,precipitation,mm day-1,4
03103_03154_03151_Region_um_Wolfsburg,0.036225318908691406,RRm,sem,precipitation,mm day-1,7
03103_03154_03151_Region_um_Wolfsburg,0.03102123737335205,RRm,sem,precipitation,mm day-1,10
03103_Wolfsburg,0.07761788368225098,RRm,sem,precipitation,mm day-1,1
03103_Wolfsburg,0.12284207344055176,RRm,sem,precipitation,mm day-1,4
03103_Wolfsburg,0.012420654296875,RRm,sem,precipitation,mm day-1,7
03103_Wolfsburg,0.02226078510284424,RRm,sem,precipitation,mm day-1,10
03151_Gifhorn,0.07657873630523682,RRm,sem,precipitation,mm day-1,1
03151_Gifhorn,0.12948870658874512,RRm,sem,precipitation,mm day-1,4
03151_Gifhorn,0.021843671798706055,RRm,sem,precipitation,mm day-1,7
03151_Gifhorn,0.044431447982788086,RRm,sem,precipitation,mm day-1,10
03153_Goslar,0.02774667739868164,RRm,sem,precipitation,mm day-1,1
03153_Goslar,0.1616196632385254,RRm,sem,precipitation,mm day-1,4
03153_Goslar,0.013510942459106445,RRm,sem,precipitation,mm day-1,7
03153_Goslar,0.013651847839355469,RRm,sem,precipitation,mm day-1,10
03154_Helmstedt,0.07097578048706055,RRm,sem,precipitation,mm day-1,1
