realization,region,DSx5_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_DSx5,03360_Uelzen,20.585756,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03361_Verden,20.34065,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03401_03458_04011_03251_03461_Region_um_Delmenhorst,20.147707,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03401_Delmenhorst,20.68438,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03402_03452_03457_Region_um_Emden,19.634073,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03402_Emden,19.798412,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),20.212366,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03403_Oldenburg (Oldb),20.248041,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03404_03459_05566_Region_um_Osnabrück,19.378199,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03404_Osnabrück,18.90884,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03405_03455_Region_um_Wilhelmshaven,19.548178,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03405_Wilhelmshaven,19.258242,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03451_Ammerland,19.919867,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03452_Aurich,19.594328,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03453_Cloppenburg,19.471754,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03454_Emsland,19.628414,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03455_Friesland,19.584757,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03456_Grafschaft Bentheim,19.954433,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03457_Leer,19.663113,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03458_Oldenburg,20.253544,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03459_Osnabrück,19.097813,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03460_Vechta,19.653286,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03461_Wesermarsch,20.42397,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,03462_Wittmund,19.521793,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,20.173807,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,04011_Bremen,20.432323,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,04012_03352_03461_Region_um_Bremerhaven,20.311222,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,04012_Bremerhaven,20.575129,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05111_05162_05158_05112_Region_um_Düsseldorf,19.35357,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05111_Düsseldorf,18.773188,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,19.646725,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05112_Duisburg,19.774862,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,18.694975,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05113_Essen,18.272696,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05114_05112_05162_05166_05170_Region_um_Krefeld,20.240252,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05114_Krefeld,19.980862,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05116_05370_05166_05162_Region_um_Mönchengladbach,20.54513,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05116_Mönchengladbach,21.028913,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,18.80827,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05117_Mülheim an der Ruhr,18.907513,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,19.839476,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05119_Oberhausen,19.569897,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05120_05124_05122_05378_05374_Region_um_Remscheid,18.049198,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05120_Remscheid,17.751621,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05122_05158_05124_05378_05120_Region_um_Solingen,18.237362,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05122_Solingen,17.710993,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,18.00966,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05124_Wuppertal,17.837017,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05154_Kleve,20.74276,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05158_Mettmann,18.361769,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05162_Rhein-Kreis Neuss,20.113098,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05166_Viersen,20.448092,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05170_Wesel,20.33669,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05314_05382_Region_um_Bonn,19.128727,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05314_Bonn,19.444141,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05315_Köln,19.276196,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05316_05315_05378_05158_Region_um_Leverkusen,18.67388,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05316_Leverkusen,18.438183,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05334_Städteregion Aachen,18.40015,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05358_Düren,19.025164,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05362_Rhein-Erft-Kreis,19.579865,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05366_Euskirchen,18.45713,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05370_Heinsberg,20.895779,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05374_Oberbergischer Kreis,17.944937,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05378_Rheinisch-Bergischer Kreis,18.454689,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05382_Rhein-Sieg-Kreis,19.08921,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05512_05119_05513_05113_05170_05562_Region_um_Bottrop,19.648935,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05512_Bottrop,19.149881,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,18.941925,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05513_Gelsenkirchen,18.906864,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05515_05566_05558_05570_Region_um_Münster,19.461546,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05515_Münster,19.703228,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05554_Borken,20.408508,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05558_Coesfeld,19.87082,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05562_Recklinghausen,19.255182,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05566_Steinfurt,19.739613,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05570_Warendorf,18.6839,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05711_05754_05758_05766_Region_um_Bielefeld,18.265545,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05711_Bielefeld,18.60696,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05754_Gütersloh,18.34535,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05758_Herford,18.539713,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05762_Höxter,18.625315,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05766_Lippe,18.031197,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05770_Minden-Lübbecke,19.201199,DSx5,year,dry_spell_duration,days,7
