region,DD_sem_2C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,0.0059768273,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01002_Kiel,-0.49374554,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01003_Lübeck,-0.41413093,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01004_Neumünster,-0.28963697,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01051_Dithmarschen,-0.45859438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01053_Herzogtum Lauenburg,-0.5093919,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01054_Nordfriesland,-0.30520716,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01055_Ostholstein,-0.5417139,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01057_Plön,-0.45103025,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01058_Rendsburg-Eckernförde,-0.4207217,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01059_Schleswig-Flensburg,-0.24531592,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01060_Segeberg,-0.30704942,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01061_Steinburg,-0.5308551,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01062_Stormarn,-0.38841,DD,sem,days_with_precipitation_amount_below_threshold,days,1
02000_Hamburg,-0.59026057,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03101_Braunschweig,-1.3500468,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03102_Salzgitter,-1.3737372,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03103_Wolfsburg,-1.1837304,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03151_Gifhorn,-0.9918256,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03159_Göttingen,-1.1886828,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03153_Goslar,-0.76252705,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03154_Helmstedt,-1.418018,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03155_Northeim,-1.1529752,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03157_Peine,-1.2767704,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03158_Wolfenbüttel,-1.4544547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03241_Region Hannover,-0.98860174,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03251_Diepholz,-0.49399203,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03252_Hameln-Pyrmont,-0.8710576,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03254_Hildesheim,-1.1651281,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03255_Holzminden,-0.9870334,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01056_Pinneberg,-0.5721105,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03256_Nienburg (Weser),-0.66093695,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03257_Schaumburg,-0.72088134,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03351_Celle,-0.7921463,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03352_Cuxhaven,-0.62830645,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03353_Harburg,-0.53371936,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03354_Lüchow-Dannenberg,-0.99048215,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03355_Lüneburg,-0.7760967,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03356_Osterholz,-0.41953763,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03357_Rotenburg (Wümme),-0.41448683,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03358_Heidekreis,-0.54000497,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03359_Stade,-0.522965,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03360_Uelzen,-0.7762668,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03361_Verden,-0.51208866,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03401_Delmenhorst,-0.48493573,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03402_Emden,-0.49901587,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03403_Oldenburg (Oldb),-0.3614631,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03404_Osnabrück,-0.21542218,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03405_Wilhelmshaven,-0.6070986,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03451_Ammerland,-0.3334052,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03452_Aurich,-0.4795218,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03453_Cloppenburg,-0.2845688,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03454_Emsland,-0.34021997,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03455_Friesland,-0.46289915,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03456_Grafschaft Bentheim,-0.37215284,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03457_Leer,-0.37188947,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03458_Oldenburg,-0.34132984,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03459_Osnabrück,-0.36296666,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03460_Vechta,-0.40531546,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03461_Wesermarsch,-0.4977475,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03462_Wittmund,-0.4822089,DD,sem,days_with_precipitation_amount_below_threshold,days,1
04011_Bremen,-0.46365646,DD,sem,days_with_precipitation_amount_below_threshold,days,1
04012_Bremerhaven,-0.7009715,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05111_Düsseldorf,-0.6230514,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05112_Duisburg,-0.51713014,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05113_Essen,-0.43433735,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05114_Krefeld,-0.5394482,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05116_Mönchengladbach,-0.65904343,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05117_Mülheim an der Ruhr,-0.48634622,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05119_Oberhausen,-0.48150364,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05120_Remscheid,-0.3206936,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05122_Solingen,-0.5121147,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05124_Wuppertal,-0.3201113,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05154_Kleve,-0.48377612,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05158_Mettmann,-0.52941877,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05162_Rhein-Kreis Neuss,-0.7661971,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05166_Viersen,-0.53749126,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05170_Wesel,-0.4367591,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05314_Bonn,-1.1850867,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05315_Köln,-0.9398973,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05316_Leverkusen,-0.7415906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05334_Städteregion Aachen,-0.6086372,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05358_Düren,-1.0531619,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05362_Rhein-Erft-Kreis,-1.1317273,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05366_Euskirchen,-0.94635934,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05370_Heinsberg,-0.7113109,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05374_Oberbergischer Kreis,-0.4803341,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05378_Rheinisch-Bergischer Kreis,-0.62990075,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05382_Rhein-Sieg-Kreis,-1.0117368,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05512_Bottrop,-0.42152068,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05513_Gelsenkirchen,-0.48043466,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05515_Münster,-0.5055141,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05554_Borken,-0.34130624,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05558_Coesfeld,-0.38752967,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05562_Recklinghausen,-0.4568385,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05566_Steinfurt,-0.39394438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05570_Warendorf,-0.6716346,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05711_Bielefeld,-0.55299985,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05754_Gütersloh,-0.6784118,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05758_Herford,-0.63700175,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05762_Höxter,-0.9972589,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05766_Lippe,-0.6669172,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05770_Minden-Lübbecke,-0.7624875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05774_Paderborn,-0.9295359,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05911_Bochum,-0.5129723,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05913_Dortmund,-0.67853063,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05914_Hagen,-0.48911467,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05915_Hamm,-0.8028517,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05916_Herne,-0.5544459,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05954_Ennepe-Ruhr-Kreis,-0.39894268,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05958_Hochsauerlandkreis,-0.5738871,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05962_Märkischer Kreis,-0.42146704,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05966_Olpe,-0.29988798,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05970_Siegen-Wittgenstein,-0.3693482,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05974_Soest,-0.8739025,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05978_Unna,-0.7202283,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06411_Darmstadt,-1.2875624,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06412_Frankfurt am Main,-1.1725477,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06413_Offenbach am Main,-1.2599663,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06414_Wiesbaden,-1.0394397,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06431_Bergstraße,-1.0040145,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06432_Darmstadt-Dieburg,-1.1439072,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06433_Groß-Gerau,-1.4353051,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06434_Hochtaunuskreis,-0.78558844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06435_Main-Kinzig-Kreis,-0.71048176,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06436_Main-Taunus-Kreis,-0.99668044,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06437_Odenwaldkreis,-0.7364462,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06438_Offenbach,-1.1968691,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06439_Rheingau-Taunus-Kreis,-0.96782976,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06440_Wetteraukreis,-0.9492867,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06531_Gießen,-0.85002506,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06532_Lahn-Dill-Kreis,-0.72613597,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06533_Limburg-Weilburg,-0.95958483,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06534_Marburg-Biedenkopf,-0.71141803,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06535_Vogelsbergkreis,-0.69654804,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06611_Kassel,-1.2478051,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06631_Fulda,-0.82325995,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06632_Hersfeld-Rotenburg,-1.1329511,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06633_Kassel,-1.2856402,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06634_Schwalm-Eder-Kreis,-1.0310087,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06635_Waldeck-Frankenberg,-0.92515016,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06636_Werra-Meißner-Kreis,-1.0866039,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07111_Koblenz,-1.3392875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07131_Ahrweiler,-1.0855006,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07132_Altenkirchen (Westerwald),-0.6941797,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07133_Bad Kreuznach,-1.3288357,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07134_Birkenfeld,-0.733407,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07135_Cochem-Zell,-0.91196585,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07137_Mayen-Koblenz,-1.2024381,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07138_Neuwied,-0.9921618,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07140_Rhein-Hunsrück-Kreis,-1.0250349,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07141_Rhein-Lahn-Kreis,-1.1335002,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07143_Westerwaldkreis,-0.7084765,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07211_Trier,-0.5837701,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07231_Bernkastel-Wittlich,-0.6799336,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07232_Eifelkreis Bitburg-Prüm,-0.3481528,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07233_Vulkaneifel,-0.45562372,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07235_Trier-Saarburg,-0.47851396,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07311_Frankenthal (Pfalz),-1.4908367,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07312_Kaiserslautern,-0.6938942,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07313_Landau in der Pfalz,-0.9856689,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07314_Ludwigshafen am Rhein,-1.4900106,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07315_Mainz,-1.3475846,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07316_Neustadt an der Weinstraße,-1.2062172,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07317_Pirmasens,-0.58823293,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07318_Speyer,-1.4537171,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07319_Worms,-1.4831834,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07320_Zweibrücken,-0.5762472,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07331_Alzey-Worms,-1.5415467,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07332_Bad Dürkheim,-1.1902856,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07333_Donnersbergkreis,-1.268234,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07334_Germersheim,-1.3290883,DD,sem,days_with_precipitation_amount_below_threshold,days,1
