region,DD_sem_4C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,4.057685852050781,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01002_Kiel,2.895488739013672,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01003_Lübeck,3.6522789001464844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01004_Neumünster,3.20086669921875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01051_Dithmarschen,3.1668128967285156,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01053_Herzogtum Lauenburg,3.8603363037109375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01054_Nordfriesland,2.60955810546875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01055_Ostholstein,3.6702117919921875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01057_Plön,3.078052520751953,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01058_Rendsburg-Eckernförde,2.9798202514648438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01059_Schleswig-Flensburg,3.246387481689453,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01060_Segeberg,3.3696022033691406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01061_Steinburg,3.4379501342773438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01062_Stormarn,3.4332275390625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
02000_Hamburg,3.4905357360839844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03101_Braunschweig,2.534912109375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03102_Salzgitter,3.3461227416992188,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03103_Wolfsburg,2.5885772705078125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03151_Gifhorn,3.0461502075195312,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03159_Göttingen,3.192291259765625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03153_Goslar,4.2915191650390625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03154_Helmstedt,2.1940078735351562,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03155_Northeim,3.352062225341797,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03157_Peine,2.6572837829589844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03158_Wolfenbüttel,3.0087814331054688,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03241_Region Hannover,3.408885955810547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03251_Diepholz,3.2937088012695312,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03252_Hameln-Pyrmont,2.8302879333496094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03254_Hildesheim,3.16766357421875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03255_Holzminden,2.8957595825195312,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01056_Pinneberg,3.400981903076172,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03256_Nienburg (Weser),3.3925323486328125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03257_Schaumburg,3.6453933715820312,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03351_Celle,3.3357200622558594,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03352_Cuxhaven,3.3555908203125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03353_Harburg,3.014842987060547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03354_Lüchow-Dannenberg,3.1944313049316406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03355_Lüneburg,3.3900146484375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03356_Osterholz,3.335956573486328,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03357_Rotenburg (Wümme),3.3031234741210938,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03358_Heidekreis,3.3997955322265625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03359_Stade,3.2317886352539062,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03360_Uelzen,3.004669189453125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03361_Verden,3.3241424560546875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03401_Delmenhorst,3.1866722106933594,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03402_Emden,3.0386199951171875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03403_Oldenburg (Oldb),2.9891357421875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03404_Osnabrück,4.128864288330078,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03405_Wilhelmshaven,3.1874122619628906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03451_Ammerland,3.146697998046875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03452_Aurich,3.1119117736816406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03453_Cloppenburg,3.446247100830078,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03454_Emsland,3.5207672119140625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03455_Friesland,3.270069122314453,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03456_Grafschaft Bentheim,3.229053497314453,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03457_Leer,3.978046417236328,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03458_Oldenburg,3.129871368408203,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03459_Osnabrück,3.7413063049316406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03460_Vechta,3.74371337890625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03461_Wesermarsch,3.0881195068359375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03462_Wittmund,3.326080322265625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
04011_Bremen,3.016742706298828,DD,sem,days_with_precipitation_amount_below_threshold,days,1
04012_Bremerhaven,3.259632110595703,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05111_Düsseldorf,3.1044883728027344,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05112_Duisburg,3.5452613830566406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05113_Essen,3.463855743408203,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05114_Krefeld,3.247211456298828,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05116_Mönchengladbach,2.775165557861328,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05117_Mülheim an der Ruhr,3.691974639892578,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05119_Oberhausen,4.223628997802734,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05120_Remscheid,4.257537841796875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05122_Solingen,4.219627380371094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05124_Wuppertal,3.8849334716796875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05154_Kleve,3.202983856201172,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05158_Mettmann,3.585338592529297,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05162_Rhein-Kreis Neuss,2.6564102172851562,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05166_Viersen,3.2907066345214844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05170_Wesel,3.3167762756347656,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05314_Bonn,3.56890869140625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05315_Köln,2.292369842529297,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05316_Leverkusen,3.081218719482422,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05334_Städteregion Aachen,2.7980804443359375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05358_Düren,2.778919219970703,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05362_Rhein-Erft-Kreis,2.6729164123535156,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05366_Euskirchen,3.534809112548828,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05370_Heinsberg,2.9652099609375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05374_Oberbergischer Kreis,4.375537872314453,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05378_Rheinisch-Bergischer Kreis,3.4623756408691406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05382_Rhein-Sieg-Kreis,3.1569786071777344,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05512_Bottrop,3.5851669311523438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05513_Gelsenkirchen,3.3754615783691406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05515_Münster,3.1967620849609375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05554_Borken,3.047344207763672,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05558_Coesfeld,2.5914459228515625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05562_Recklinghausen,2.7802085876464844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05566_Steinfurt,3.1807899475097656,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05570_Warendorf,2.6123275756835938,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05711_Bielefeld,3.643932342529297,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05754_Gütersloh,2.8794288635253906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05758_Herford,3.0075721740722656,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05762_Höxter,3.23028564453125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05766_Lippe,3.367137908935547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05770_Minden-Lübbecke,3.0205230712890625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05774_Paderborn,3.3692550659179688,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05911_Bochum,3.012420654296875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05913_Dortmund,3.4868698120117188,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05914_Hagen,3.244091033935547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05915_Hamm,2.6592864990234375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05916_Herne,3.4254989624023438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05954_Ennepe-Ruhr-Kreis,3.0139427185058594,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05958_Hochsauerlandkreis,3.6010360717773438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05962_Märkischer Kreis,3.179515838623047,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05966_Olpe,3.9243812561035156,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05970_Siegen-Wittgenstein,3.827465057373047,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05974_Soest,3.209869384765625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05978_Unna,2.9814796447753906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06411_Darmstadt,2.1122093200683594,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06412_Frankfurt am Main,1.4655380249023438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06413_Offenbach am Main,1.7064628601074219,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06414_Wiesbaden,1.8542709350585938,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06431_Bergstraße,2.1317176818847656,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06432_Darmstadt-Dieburg,2.26531982421875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06433_Groß-Gerau,1.3482513427734375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06434_Hochtaunuskreis,3.10736083984375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06435_Main-Kinzig-Kreis,3.1348419189453125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06436_Main-Taunus-Kreis,1.9601936340332031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06437_Odenwaldkreis,2.6063575744628906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06438_Offenbach,1.8823928833007812,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06439_Rheingau-Taunus-Kreis,2.4647254943847656,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06440_Wetteraukreis,1.5889511108398438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06531_Gießen,1.7437095642089844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06532_Lahn-Dill-Kreis,2.2532577514648438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
