region,DD_sem_2C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-5.024784088134766,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01002_Kiel,-5.684658050537109,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01003_Lübeck,-5.405933380126953,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01004_Neumünster,-5.926666259765625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01051_Dithmarschen,-5.246494293212891,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01053_Herzogtum Lauenburg,-5.7864532470703125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01054_Nordfriesland,-5.377231597900391,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01055_Ostholstein,-5.1435546875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01057_Plön,-5.2705078125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01058_Rendsburg-Eckernförde,-5.453273773193359,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01059_Schleswig-Flensburg,-5.333202362060547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01060_Segeberg,-5.685630798339844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01061_Steinburg,-5.997161865234375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01062_Stormarn,-5.9821319580078125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
02000_Hamburg,-6.1574859619140625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03101_Braunschweig,-6.086452484130859,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03102_Salzgitter,-5.754650115966797,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03103_Wolfsburg,-6.626617431640625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03151_Gifhorn,-6.5432891845703125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03159_Göttingen,-6.507343292236328,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03153_Goslar,-6.473808288574219,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03154_Helmstedt,-6.438018798828125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03155_Northeim,-6.493503570556641,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03157_Peine,-6.073131561279297,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03158_Wolfenbüttel,-6.049991607666016,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03241_Region Hannover,-5.835174560546875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03251_Diepholz,-5.929180145263672,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03252_Hameln-Pyrmont,-6.307456970214844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03254_Hildesheim,-6.151756286621094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03255_Holzminden,-6.461631774902344,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01056_Pinneberg,-6.276676177978516,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03256_Nienburg (Weser),-5.566059112548828,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03257_Schaumburg,-6.059261322021484,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03351_Celle,-5.852031707763672,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03352_Cuxhaven,-5.982601165771484,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03353_Harburg,-6.414333343505859,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03354_Lüchow-Dannenberg,-5.439693450927734,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03355_Lüneburg,-5.698818206787109,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03356_Osterholz,-5.842529296875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03357_Rotenburg (Wümme),-6.0346832275390625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03358_Heidekreis,-5.798198699951172,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03359_Stade,-6.127010345458984,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03360_Uelzen,-6.1102294921875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03361_Verden,-5.853923797607422,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03401_Delmenhorst,-5.706634521484375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03402_Emden,-6.561145782470703,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03403_Oldenburg (Oldb),-5.617668151855469,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03404_Osnabrück,-5.883213043212891,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03405_Wilhelmshaven,-6.794483184814453,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03451_Ammerland,-5.574657440185547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03452_Aurich,-5.701900482177734,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03453_Cloppenburg,-5.855297088623047,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03454_Emsland,-6.278949737548828,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03455_Friesland,-5.77801513671875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03456_Grafschaft Bentheim,-6.760986328125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03457_Leer,-5.41107177734375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03458_Oldenburg,-5.213905334472656,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03459_Osnabrück,-6.178028106689453,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03460_Vechta,-6.296070098876953,DD,sem,days_with_precipitation_amount_below_threshold,days,1
