region,DD_sem_3C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-0.5052837,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01002_Kiel,-0.7991483,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01003_Lübeck,-0.75493747,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01004_Neumünster,-0.6375781,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01051_Dithmarschen,-1.0667622,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01053_Herzogtum Lauenburg,-0.76966983,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01054_Nordfriesland,-1.1016861,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01055_Ostholstein,-0.86842704,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01057_Plön,-0.75797,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01058_Rendsburg-Eckernförde,-0.83985245,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01059_Schleswig-Flensburg,-0.74464834,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01060_Segeberg,-0.5536068,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01061_Steinburg,-1.0295479,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01062_Stormarn,-0.61874133,DD,sem,days_with_precipitation_amount_below_threshold,days,1
02000_Hamburg,-0.8777311,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03101_Braunschweig,-1.5491217,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03102_Salzgitter,-1.5465999,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03103_Wolfsburg,-1.3465908,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03151_Gifhorn,-1.1537786,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03159_Göttingen,-1.605722,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03153_Goslar,-0.87864804,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03154_Helmstedt,-1.5369247,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03155_Northeim,-1.5981568,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03157_Peine,-1.4925853,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03158_Wolfenbüttel,-1.5998679,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03241_Region Hannover,-1.2400264,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03251_Diepholz,-0.90674967,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03252_Hameln-Pyrmont,-1.193928,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03254_Hildesheim,-1.4729515,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03255_Holzminden,-1.3501301,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01056_Pinneberg,-0.9422516,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03256_Nienburg (Weser),-1.0042821,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03257_Schaumburg,-0.97062844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03351_Celle,-0.9735494,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03352_Cuxhaven,-1.1372182,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03353_Harburg,-0.81430495,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03354_Lüchow-Dannenberg,-1.1984777,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03355_Lüneburg,-0.9936274,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03356_Osterholz,-0.8332493,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03357_Rotenburg (Wümme),-0.8318085,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03358_Heidekreis,-0.78575885,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03359_Stade,-0.9922831,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03360_Uelzen,-0.9304968,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03361_Verden,-0.92838466,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03401_Delmenhorst,-0.976161,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03402_Emden,-1.232634,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03403_Oldenburg (Oldb),-0.7543488,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03404_Osnabrück,-0.65177196,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03405_Wilhelmshaven,-1.2521329,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03451_Ammerland,-0.74552166,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03452_Aurich,-1.1944067,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03453_Cloppenburg,-0.72927654,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03454_Emsland,-0.8218665,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03455_Friesland,-1.0169785,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03456_Grafschaft Bentheim,-0.8822154,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03457_Leer,-0.9151171,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03458_Oldenburg,-0.7728748,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03459_Osnabrück,-0.7677662,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03460_Vechta,-0.7856169,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03461_Wesermarsch,-0.97607446,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03462_Wittmund,-1.1011424,DD,sem,days_with_precipitation_amount_below_threshold,days,1
04011_Bremen,-0.9056041,DD,sem,days_with_precipitation_amount_below_threshold,days,1
04012_Bremerhaven,-1.1820958,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05111_Düsseldorf,-1.1957933,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05112_Duisburg,-1.0820047,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05113_Essen,-0.78715986,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05114_Krefeld,-1.2254152,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05116_Mönchengladbach,-1.2862628,DD,sem,days_with_precipitation_amount_below_threshold,days,1
