region,DD_sem_4C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,0.09476852416992188,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01002_Kiel,-0.6794261932373047,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01003_Lübeck,-0.23306655883789062,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01004_Neumünster,-0.10542869567871094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01051_Dithmarschen,-0.580535888671875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01053_Herzogtum Lauenburg,0.11520004272460938,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01054_Nordfriesland,-0.5506362915039062,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01055_Ostholstein,-0.4113140106201172,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01057_Plön,-0.459320068359375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01058_Rendsburg-Eckernförde,-0.6406612396240234,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01059_Schleswig-Flensburg,-0.6643886566162109,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01060_Segeberg,-0.17982864379882812,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01061_Steinburg,-1.0193653106689453,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01062_Stormarn,0.1795196533203125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
02000_Hamburg,-0.1311206817626953,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03101_Braunschweig,-0.736846923828125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03102_Salzgitter,-0.9367561340332031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03103_Wolfsburg,-0.4266796112060547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03151_Gifhorn,-0.27634429931640625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03159_Göttingen,-0.4340476989746094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03153_Goslar,-0.15117931365966797,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03154_Helmstedt,-0.6294174194335938,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03155_Northeim,-0.5784912109375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03157_Peine,-0.78790283203125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03158_Wolfenbüttel,-0.6332263946533203,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03241_Region Hannover,-0.4044647216796875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03251_Diepholz,-0.5957984924316406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03252_Hameln-Pyrmont,-0.17750930786132812,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03254_Hildesheim,-0.5983791351318359,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03255_Holzminden,-0.3217658996582031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01056_Pinneberg,-0.6958389282226562,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03256_Nienburg (Weser),-0.3148212432861328,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03257_Schaumburg,0.2737998962402344,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03351_Celle,-0.3130931854248047,DD,sem,days_with_precipitation_amount_below_threshold,days,1
