region,DD_sem_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-0.3705711364746094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01002_Kiel,-0.950469970703125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01003_Lübeck,-0.5559349060058594,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01004_Neumünster,-0.4935188293457031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01051_Dithmarschen,-1.4264411926269531,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01053_Herzogtum Lauenburg,-0.7249870300292969,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01054_Nordfriesland,-0.9235687255859375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01055_Ostholstein,-0.7513504028320312,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01057_Plön,-0.786407470703125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01058_Rendsburg-Eckernförde,-0.8780021667480469,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01059_Schleswig-Flensburg,-0.5720558166503906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01060_Segeberg,-0.5751571655273438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01061_Steinburg,-1.1656227111816406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01062_Stormarn,-0.5164375305175781,DD,sem,days_with_precipitation_amount_below_threshold,days,1
02000_Hamburg,-0.6160850524902344,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03101_Braunschweig,-1.1196365356445312,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03102_Salzgitter,-1.3028068542480469,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03103_Wolfsburg,-0.9866447448730469,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03151_Gifhorn,-0.7876243591308594,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03159_Göttingen,-1.3731918334960938,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03153_Goslar,-0.8686904907226562,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03154_Helmstedt,-1.3353729248046875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03155_Northeim,-1.5606231689453125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03157_Peine,-1.0710983276367188,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03158_Wolfenbüttel,-1.1658210754394531,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03241_Region Hannover,-1.0755729675292969,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03251_Diepholz,-0.521209716796875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03252_Hameln-Pyrmont,-0.8340988159179688,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03254_Hildesheim,-1.1835746765136719,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03255_Holzminden,-1.1869125366210938,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01056_Pinneberg,-0.7132110595703125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03256_Nienburg (Weser),-0.8089828491210938,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03257_Schaumburg,-0.7227096557617188,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03351_Celle,-0.8157691955566406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03352_Cuxhaven,-1.0329132080078125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03353_Harburg,-0.5428733825683594,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03354_Lüchow-Dannenberg,-1.0861968994140625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03355_Lüneburg,-0.6221160888671875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03356_Osterholz,-0.5573501586914062,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03357_Rotenburg (Wümme),-0.4460639953613281,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03358_Heidekreis,-0.4793586730957031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03359_Stade,-0.7928848266601562,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03360_Uelzen,-0.6951332092285156,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03361_Verden,-0.5253562927246094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03401_Delmenhorst,-0.7234039306640625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03402_Emden,-0.9949569702148438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03403_Oldenburg (Oldb),-0.5769920349121094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03404_Osnabrück,-0.2090911865234375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03405_Wilhelmshaven,-0.7588653564453125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03451_Ammerland,-0.677490234375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03452_Aurich,-1.0328025817871094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03453_Cloppenburg,-0.5648307800292969,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03454_Emsland,-0.5152206420898438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03455_Friesland,-0.8636894226074219,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03456_Grafschaft Bentheim,-0.5547943115234375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03457_Leer,-0.82745361328125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03458_Oldenburg,-0.601837158203125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03459_Osnabrück,-0.5670013427734375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03460_Vechta,-0.4233818054199219,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03461_Wesermarsch,-0.7225303649902344,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03462_Wittmund,-0.9827041625976562,DD,sem,days_with_precipitation_amount_below_threshold,days,1
04011_Bremen,-0.6529579162597656,DD,sem,days_with_precipitation_amount_below_threshold,days,1
04012_Bremerhaven,-1.2055091857910156,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05111_Düsseldorf,-0.7774696350097656,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05112_Duisburg,-0.7918205261230469,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05113_Essen,-0.5924491882324219,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05114_Krefeld,-0.8465919494628906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05116_Mönchengladbach,-0.7823371887207031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05117_Mülheim an der Ruhr,-0.6749191284179688,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05119_Oberhausen,-0.8131523132324219,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05120_Remscheid,-0.898284912109375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05122_Solingen,-0.8286094665527344,DD,sem,days_with_precipitation_amount_below_threshold,days,1
