region,DD_sem_3C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
01001_Flensburg,-5.702632904052734,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01002_Kiel,-6.095970153808594,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01003_Lübeck,-5.120361328125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01004_Neumünster,-6.652305603027344,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01051_Dithmarschen,-5.521820068359375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01053_Herzogtum Lauenburg,-5.308082580566406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01054_Nordfriesland,-5.549488067626953,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01055_Ostholstein,-5.158206939697266,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01057_Plön,-5.43829345703125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01058_Rendsburg-Eckernförde,-6.812702178955078,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01059_Schleswig-Flensburg,-6.286842346191406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01060_Segeberg,-5.419567108154297,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01061_Steinburg,-6.622367858886719,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01062_Stormarn,-5.18255615234375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
02000_Hamburg,-6.139926910400391,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03101_Braunschweig,-8.69278335571289,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03102_Salzgitter,-8.528545379638672,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03103_Wolfsburg,-7.844890594482422,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03151_Gifhorn,-7.712055206298828,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03159_Göttingen,-5.758003234863281,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03153_Goslar,-5.193424224853516,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03154_Helmstedt,-7.1593780517578125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03155_Northeim,-6.236621856689453,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03157_Peine,-8.567001342773438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03158_Wolfenbüttel,-8.07684326171875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03241_Region Hannover,-6.798107147216797,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03251_Diepholz,-5.0938720703125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03252_Hameln-Pyrmont,-6.345256805419922,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03254_Hildesheim,-6.676151275634766,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03255_Holzminden,-6.509162902832031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
01056_Pinneberg,-6.580768585205078,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03256_Nienburg (Weser),-5.339698791503906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03257_Schaumburg,-6.309970855712891,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03351_Celle,-6.893733978271484,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03352_Cuxhaven,-6.399860382080078,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03353_Harburg,-5.887439727783203,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03354_Lüchow-Dannenberg,-7.294952392578125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03355_Lüneburg,-5.7824249267578125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03356_Osterholz,-5.790763854980469,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03357_Rotenburg (Wümme),-6.0881195068359375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03358_Heidekreis,-5.616874694824219,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03359_Stade,-5.882251739501953,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03360_Uelzen,-7.052768707275391,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03361_Verden,-5.590198516845703,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03401_Delmenhorst,-5.239002227783203,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03402_Emden,-6.777370452880859,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03403_Oldenburg (Oldb),-4.626995086669922,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03404_Osnabrück,-5.389945983886719,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03405_Wilhelmshaven,-7.259040832519531,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03451_Ammerland,-5.4208984375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03452_Aurich,-6.772922515869141,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03453_Cloppenburg,-5.252601623535156,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03454_Emsland,-5.341587066650391,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03455_Friesland,-6.430233001708984,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03456_Grafschaft Bentheim,-4.945854187011719,DD,sem,days_with_precipitation_amount_below_threshold,days,1
03457_Leer,-6.0995025634765625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
