realization,region,SU30_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_SU30,01001_01059_Region_um_Flensburg,0.9976683,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,01001_Flensburg,0.71797526,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,01002_01057_01058_Region_um_Kiel,1.8938367,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,01002_Kiel,1.5922271,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,01003_13074_01055_01053_01062_Region_um_Lübeck,2.6436646,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,01003_Lübeck,3.212531,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,01004_01058_01060_01057_01002_Region_um_Neumünster,2.2407959,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,01004_Neumünster,2.786091,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,01051_Dithmarschen,1.81767,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,01053_Herzogtum Lauenburg,3.956227,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,01054_Nordfriesland,1.1134616,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,01055_Ostholstein,1.4876189,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,01056_Pinneberg,3.4500198,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,01057_Plön,1.5257821,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,01058_Rendsburg-Eckernförde,2.0848715,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,01059_Schleswig-Flensburg,1.0050668,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,01060_Segeberg,3.0611491,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,01061_Steinburg,2.7808588,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,01062_Stormarn,3.6805804,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,02000_Hamburg,3.882623,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03101_03157_03154_03151_03102_03158_03103_Region_um_Braunschweig,5.3891997,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03101_Braunschweig,4.649268,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03102_03254_03157_03158_03153_03101_Region_um_Salzgitter,3.8183048,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03102_Salzgitter,4.599272,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03103_03154_03151_Region_um_Wolfsburg,5.900598,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03103_Wolfsburg,6.3100452,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03151_Gifhorn,6.084904,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03153_Goslar,1.90776,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03154_Helmstedt,5.343869,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03155_Northeim,3.9209456,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03157_Peine,4.949843,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03158_Wolfenbüttel,4.4369,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03159_Göttingen,3.0765886,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03241_Region Hannover,5.00139,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03251_Diepholz,4.761984,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03252_Hameln-Pyrmont,3.8499854,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03254_Hildesheim,4.1926117,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03255_Holzminden,3.2128046,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03256_Nienburg (Weser),5.616798,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03257_Schaumburg,4.248616,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03351_Celle,5.474879,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03352_Cuxhaven,2.449028,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03353_Harburg,4.089561,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03354_Lüchow-Dannenberg,5.7527137,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03355_Lüneburg,4.8028045,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03356_Osterholz,3.2002099,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03357_Rotenburg (Wümme),4.4798326,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03358_Heidekreis,5.048211,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03359_Stade,3.3356643,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03360_Uelzen,5.0310397,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03361_Verden,5.2026415,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03401_03458_04011_03251_03461_Region_um_Delmenhorst,4.0497465,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03401_Delmenhorst,3.8327785,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03402_03452_03457_Region_um_Emden,2.296134,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03402_Emden,2.207397,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
nan_GERICS_nan_nan_nan_nan_year_SU30,03403_03458_03451_03461_Region_um_Oldenburg_(Oldenburg),3.3640187,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
